,truncated,text,is_quote_status,id,favorite_count,source,retweeted,id_str,retweet_count,favorited,lang,created_at,clean_text
0,False,"Despite what you hear in the press, healthcare is coming along great. We are talking to many groups and it will end in a beautiful picture!",False,839883804315684864,36054,iphone,False,839883804315684864,6936,False,en,Thu Mar 09 17:01:17 +0000 2017,despite hear press healthcare coming along great talking many groups end beautiful picture
1,False,RT @foxnation: .@realDonaldTrump's First Full Month in Office Sees Biggest Jobs Gain 'In Years': Report: https://t.co/rx4bgI1MWK,False,839826581354921984,0,iphone,False,839826581354921984,6768,False,en,Thu Mar 09 13:13:54 +0000 2017,rt @foxnation @realdonaldtrump first full month office sees biggest jobs gain years report
2,False,"Great news. We are only just beginning. Together, we are going to #MAGA! https://t.co/BSp685Q9Qf https://t.co/K7yeBZsf6r",False,839625347524096000,71451,iphone,False,839625347524096000,17721,False,en,Wed Mar 08 23:54:16 +0000 2017,great news beginning together going maga
3,False,Met with @RepCummings today at the @WhiteHouse. Great discussion!,False,839624377826230272,43463,iphone,False,839624377826230272,6607,False,en,Wed Mar 08 23:50:25 +0000 2017,met @repcummings today @whitehouse great discussion
4,False,LinkedIn Workforce Report: January and February were the strongest consecutive months for hiring since August and September 2015,False,839448469374894080,75425,android,False,839448469374894080,14614,False,en,Wed Mar 08 12:11:25 +0000 2017,linkedin workforce report january february strongest consecutive months hiring since august september
5,False,"On International Women's Day, join me in honoring the critical role of women here in America &amp; around the world.",False,839433951957696513,104823,iphone,False,839433951957696513,20792,False,en,Wed Mar 08 11:13:44 +0000 2017,international women day join honoring critical role women america amp around world
6,False,I have tremendous respect for women and the many roles they serve that are vital to the fabric of our society and our economy.,False,839433678275153921,107725,iphone,False,839433678275153921,21583,False,en,Wed Mar 08 11:12:39 +0000 2017,tremendous respect women many roles serve vital fabric society economy
7,False,I feel sure that my friend @RandPaul will come along with the new and great health care program because he knows Obamacare is a disaster!,False,839268048313929729,75477,iphone,False,839268048313929729,14637,False,en,Wed Mar 08 00:14:30 +0000 2017,feel sure friend @randpaul come along new great health care program knows obamacare disaster
8,False,"Don't let the FAKE NEWS tell you that there is big infighting in the Trump Admin. We are getting along great, and getting major things done!",False,839116941956640768,115281,android,False,839116941956640768,24975,False,en,Tue Mar 07 14:14:03 +0000 2017,let fake news tell big infighting trump admin getting along great getting major things done
9,False,I am working on a new system where there will be competition in the Drug Industry. Pricing for the American people will come way down!,False,839110000870109184,117107,android,False,839110000870109184,22899,False,en,Tue Mar 07 13:46:28 +0000 2017,working new system competition drug industry pricing american people come way
10,False,"Don't worry, getting rid of state lines, which will promote competition, will be in phase 2 &amp; 3 of healthcare rollout. @foxandfriends",False,839108868584124417,77881,android,False,839108868584124417,15880,False,en,Tue Mar 07 13:41:58 +0000 2017,worry getting rid state lines promote competition phase amp healthcare rollout @foxandfriends
11,False,"For eight years Russia ""ran over"" President Obama, got stronger and stronger, picked-off Crimea and added missiles. Weak! @foxandfriends",False,839101660886614016,74576,android,False,839101660886614016,16742,False,en,Tue Mar 07 13:13:20 +0000 2017,eight years russia ran president obama got stronger stronger picked crimea added missiles weak @foxandfriends
12,False,Our wonderful new Healthcare Bill is now out for review and negotiation. ObamaCare is a complete and total disaster - is imploding fast!,False,839086723552411648,77690,android,False,839086723552411648,14740,False,en,Tue Mar 07 12:13:59 +0000 2017,wonderful new healthcare bill review negotiation obamacare complete total disaster imploding fast
13,False,"122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield. Just another terrible decision!",False,839084268991229952,88010,android,False,839084268991229952,22013,False,en,Tue Mar 07 12:04:13 +0000 2017,vicious prisoners released obama administration gitmo returned battlefield another terrible decision
14,False,"Thank you to @exxonmobil for your $20 billion investment that is creating more than 45,000 manufacturing &amp; construction jobs in the USA!",False,838960097674002432,95918,iphone,False,838960097674002432,18951,False,en,Tue Mar 07 03:50:49 +0000 2017,thank @exxonmobil billion investment creating manufacturing amp construction jobs usa
15,False,"Buy American &amp; hire American are the principles at the core of my agenda, which is: JOBS, JOBS, JOBS! Thank you @exxonmobil.",False,838959869772328960,83714,iphone,False,838959869772328960,15761,False,en,Tue Mar 07 03:49:54 +0000 2017,buy american amp hire american principles core agenda jobs jobs jobs thank @exxonmobil
16,False,"45,000 construction &amp; manufacturing jobs in the U.S. Gulf Coast region. $20 billion investment. We are already winning again, America!",False,838862312685637640,114094,iphone,False,838862312685637640,24352,False,en,Mon Mar 06 21:22:15 +0000 2017,construction amp manufacturing jobs u gulf coast region billion investment already winning america
17,False,"'President Trump Congratulates Exxon Mobil for Job-Creating Investment Program'
https://t.co/adBzWhtq8S",False,838861512999649286,68889,iphone,False,838861512999649286,12673,False,en,Mon Mar 06 21:19:04 +0000 2017,president trump congratulates exxon mobil job creating investment program
18,False,Thank you for the great rallies all across the country. Tremendous support. Make America Great Again!,False,838441522546769923,172336,iphone,False,838441522546769923,30850,False,en,Sun Mar 05 17:30:11 +0000 2017,thank great rallies across country tremendous support make america great
19,False,"Who was it that secretly said to Russian President, ""Tell Vladimir that after the election I'll have more flexibility?"" @foxandfriends",False,838353481526312961,125707,android,False,838353481526312961,36290,False,en,Sun Mar 05 11:40:20 +0000 2017,secretly said russian president tell vladimir election flexibility @foxandfriends
20,False,Is it true the DNC would not allow the FBI access to check server or other equipment after learning it was hacked? Can that be possible?,False,838351476401520640,95964,android,False,838351476401520640,24406,False,en,Sun Mar 05 11:32:22 +0000 2017,true dnc would allow fbi access check server equipment learning hacked possible
