truncated,text,is_quote_status,id,favorite_count,source,retweeted,retweet_count,favorited,lang,created_at,clean_text,clean_text_with_stopwords
False,"RT @NavigatingTrump: We're hosting a roundtable with @BernieSanders and @TomPerez in Frankfort, KY on their #fightback tour across America.",False,854379776970280960,0,iphone,False,65,False,en,Tue Apr 18 17:03:07 +0000 2017,rt @navigatingtrump hosting roundtable @berniesanders @tomperez frankfort ky fightback tour across america,rt @navigatingtrump we re hosting a roundtable with @berniesanders and @tomperez in frankfort ky on their fightback tour across america
True,"I wouldn't have phrased it the way this young man did, but yes, the insurance companies will not like my Medicare-f… https://t.co/y56Vcl66SW",False,854355802945093632,3910,other,False,1366,False,en,Tue Apr 18 15:27:51 +0000 2017,phrased way young man yes insurance companies like medicare f,i wouldn t have phrased it the way this young man did but yes the insurance companies will not like my medicare f
True,"We need to revitalize American democracy in this country and turn the Democratic Party into a grassroots, bottom up… https://t.co/Vsb5DORtUG",False,854339908730847234,4014,other,False,1170,False,en,Tue Apr 18 14:24:41 +0000 2017,need revitalize american democracy country turn democratic party grassroots bottom,we need to revitalize american democracy in this country and turn the democratic party into a grassroots bottom up
False,"RT @MaineDems: Tonight's the night! Bernie Sanders &amp; Tom Perez speak @ State Theater at 7. Get in line early, folks! #mepolitics https://t.…",False,853963383573553157,0,tweetdeck,False,175,False,en,Mon Apr 17 13:28:31 +0000 2017,rt @mainedems tonight night bernie sanders tom perez speak @ state theater get line early folks mepolitics,rt @mainedems tonight s the night bernie sanders tom perez speak @ state theater at get in line early folks mepolitics
False,RT @CNNSotu: Join us this Sunday for @jaketapper's exclusive interview with Sen. @BernieSanders only on #CNNSOTU https://t.co/1gkHvHg2Rw,False,852576198479761408,0,tweetdeck,False,403,False,en,Thu Apr 13 17:36:20 +0000 2017,rt @cnnsotu join us sunday @jaketapper exclusive interview sen @berniesanders cnnsotu,rt @cnnsotu join us this sunday for @jaketapper s exclusive interview with sen @berniesanders only on cnnsotu
False,RT @MSNBC: Bernie Sanders: Dems will win if we mobilize &amp; educate https://t.co/X6edhHYyTm https://t.co/GpQoQq1NnV,False,852360837494951936,0,tweetdeck,False,1024,False,en,Thu Apr 13 03:20:34 +0000 2017,rt @msnbc bernie sanders dems win mobilize educate,rt @msnbc bernie sanders dems will win if we mobilize educate
True,.@JamesThompsonKS The entire country now understands that grassroots America is standing up and fighting back again… https://t.co/xl8ubG6G0K,False,852248154774937601,4787,tweetdeck,False,885,False,en,Wed Apr 12 19:52:48 +0000 2017,@jamesthompsonks entire country understands grassroots america standing fighting back,@jamesthompsonks the entire country now understands that grassroots america is standing up and fighting back again
False,I want to congratulate @JamesThompsonKS and the progressive community in Kansas for running a great campaign.,False,852247243252011009,5162,tweetdeck,False,680,False,en,Wed Apr 12 19:49:11 +0000 2017,want congratulate @jamesthompsonks progressive community kansas running great campaign,i want to congratulate @jamesthompsonks and the progressive community in kansas for running a great campaign
False,The election results in Kansas show that people are catching on to the fact that Donald Trump is doing the opposite of what he promised.,False,852246655923564545,18496,tweetdeck,False,4100,False,en,Wed Apr 12 19:46:51 +0000 2017,election results kansas show people catching fact donald trump opposite promised,the election results in kansas show that people are catching on to the fact that donald trump is doing the opposite of what he promised
False,RT @JamesThompsonKS: The momentum is on our side. The country is watching. Let's shock 'em all. Let's WIN this thing! (2/2) #RESISTANCE #In…,False,851821553524363272,0,tweetdeck,False,2298,False,en,Tue Apr 11 15:37:39 +0000 2017,rt @jamesthompsonks momentum side country watching let shock em let win thing resistance,rt @jamesthompsonks the momentum is on our side the country is watching let s shock em all let s win this thing resistance in
False,Our military budget is larger than the next 12 nations combined. We do not need to spend more. We need to take care of our people.,False,851796761840627713,35316,tweetdeck,False,12480,False,en,Tue Apr 11 13:59:08 +0000 2017,military budget larger next nations combined need spend need take care people,our military budget is larger than the next nations combined we do not need to spend more we need to take care of our people
False,"RT @TomPerez: .@BernieSanders &amp; I are hitting the road next week from Maine to Nevada, and we want to see you. Sign up for info: https://t.…",False,851557144793157632,0,tweetdeck,False,424,False,en,Mon Apr 10 22:06:59 +0000 2017,rt @tomperez @berniesanders hitting road next week maine nevada want see sign info,rt @tomperez @berniesanders i are hitting the road next week from maine to nevada and we want to see you sign up for info
False,It is easy to go to war with other countries. It is not so easy to comprehend the unintended consequences of that war.,False,851239134018580480,33031,iphone,False,10895,False,en,Mon Apr 10 01:03:19 +0000 2017,easy go war countries easy comprehend unintended consequences war,it is easy to go to war with other countries it is not so easy to comprehend the unintended consequences of that war
False,"The goal of a health care system should be to keep people well, not to make stockholders rich.",False,850721900309381122,26399,tweetdeck,False,8069,False,en,Sat Apr 08 14:48:01 +0000 2017,goal health care system keep people well make stockholders rich,the goal of a health care system should be to keep people well not to make stockholders rich
False,RT @nowthisnews: NowThis exclusive: @BernieSanders on the fight to make college affordable for all Americans https://t.co/8jT7dfE66K,False,850104824079187968,0,tweetdeck,False,1449,False,en,Thu Apr 06 21:55:58 +0000 2017,rt @nowthisnews nowthis exclusive @berniesanders fight make college affordable americans,rt @nowthisnews nowthis exclusive @berniesanders on the fight to make college affordable for all americans
False,RT @tomperriello: Big news: @BernieSanders will join us on the trail in Va. on Thurs for a Fairfax rally. Hope to see you all there! https:…,False,849992663222845441,0,other,False,209,False,en,Thu Apr 06 14:30:17 +0000 2017,rt @tomperriello big news @berniesanders join us trail va thurs fairfax rally hope see https,rt @tomperriello big news @berniesanders will join us on the trail in va on thurs for a fairfax rally hope to see you all there https
False,RT @ChrisMurphyCT: It's time to revolutionize the higher ed in America. That's why I joined @BernieSanders to introduce College for All htt…,False,849678638123560960,0,tweetdeck,False,1533,False,en,Wed Apr 05 17:42:28 +0000 2017,rt @chrismurphyct time revolutionize higher ed america joined @berniesanders introduce college htt,rt @chrismurphyct it s time to revolutionize the higher ed in america that s why i joined @berniesanders to introduce college for all htt
False,"RT @SenJeffMerkley: Started to #HoldTheFloor at 6:46pm. It’s now 6:46am. 12 hours later, still speaking out to #StopGorsuch. Tune in: https…",False,849589801443627008,0,iphone,False,2809,False,en,Wed Apr 05 11:49:27 +0000 2017,rt @senjeffmerkley started holdthefloor pm hours later still speaking stopgorsuch tune https,rt @senjeffmerkley started to holdthefloor at pm it s now am hours later still speaking out to stopgorsuch tune in https
False,Women are making 81% of what men make and for women of color it’s even less. That's nothing but sexism and discrimination. #EqualPayDay,False,849353226172366849,19983,tweetdeck,False,7660,False,en,Tue Apr 04 20:09:23 +0000 2017,women making men make women color even less nothing sexism discrimination equalpayday,women are making of what men make and for women of color it s even less that s nothing but sexism and discrimination equalpayday
False,I oppose the nomination of Neil Gorsuch. I can't support giving a man with his views a lifetime seat on the Supreme Court.,False,849315350554587143,19589,tweetdeck,False,4062,False,en,Tue Apr 04 17:38:53 +0000 2017,oppose nomination neil gorsuch support giving man views lifetime seat supreme court,i oppose the nomination of neil gorsuch i can t support giving a man with his views a lifetime seat on the supreme court
False,RT @PeterHamby: Today's Good Luck America: Inside the Resistance w @BernieSanders @KillerMike @CecileRichards @IndivisibleTeam https://t.co…,False,849271401848745984,0,tweetdeck,False,145,False,en,Tue Apr 04 14:44:15 +0000 2017,rt @peterhamby today good luck america inside resistance w @berniesanders @killermike @cecilerichards @indivisibleteam,rt @peterhamby today s good luck america inside the resistance w @berniesanders @killermike @cecilerichards @indivisibleteam
True,.@tomperriello Tom was the first major statewide candidate in VA to run on a $15 minimum wage &amp; moved criminal just… https://t.co/HEKz8yDbYJ,False,849236979132887040,1863,other,False,328,False,en,Tue Apr 04 12:27:28 +0000 2017,@tomperriello tom first major statewide candidate va run minimum wage moved criminal,@tomperriello tom was the first major statewide candidate in va to run on a minimum wage moved criminal just
True,.@tomperriello .@tomperriello is standing up to fossil fuel corporations in opposing two fracked gas pipelines that… https://t.co/rPnrlJgtkT,False,849236045149462528,2135,other,False,427,False,en,Tue Apr 04 12:23:45 +0000 2017,@tomperriello @tomperriello standing fossil fuel corporations opposing two fracked gas pipelines,@tomperriello @tomperriello is standing up to fossil fuel corporations in opposing two fracked gas pipelines that
False,Now more than ever we need people in elected office who will fight for working families. That’s why I'm pleased to endorse @tomperriello.,False,849235091939364865,6281,other,False,1461,False,en,Tue Apr 04 12:19:58 +0000 2017,ever need people elected office fight working families pleased endorse @tomperriello,now more than ever we need people in elected office who will fight for working families that s why i m pleased to endorse @tomperriello
False,My parents' dream was that if they worked hard as parents they'd see their kids go to college. We must keep that promise to every family.,False,849054411443896320,17643,tweetdeck,False,3566,False,en,Tue Apr 04 00:22:01 +0000 2017,parents dream worked hard parents see kids go college must keep promise every family,my parents dream was that if they worked hard as parents they d see their kids go to college we must keep that promise to every family
False,"In a global economy we need the best educated workforce in the world, not the one where people cannot afford a higher education.",False,849034279371911168,10290,tweetdeck,False,2868,False,en,Mon Apr 03 23:02:01 +0000 2017,global economy need best educated workforce world one people cannot afford higher education,in a global economy we need the best educated workforce in the world not the one where people cannot afford a higher education
False,We need to educate all our people in order to address the crises facing us. The way to do that is making higher education affordable to all.,False,849026513081180161,13488,tweetdeck,False,3898,False,en,Mon Apr 03 22:31:09 +0000 2017,need educate people order address crises facing us way making higher education affordable,we need to educate all our people in order to address the crises facing us the way to do that is making higher education affordable to all
False,RT @thenation: Bernie Sanders Just Introduced His Free College Tuition Plan https://t.co/qFEU2otoyR,False,849020351610855424,0,tweetdeck,False,1951,False,en,Mon Apr 03 22:06:40 +0000 2017,rt @thenation bernie sanders introduced free college tuition plan,rt @thenation bernie sanders just introduced his free college tuition plan
False,"A student who studies hard gets hit with insurmountable debt, yet bankers who crashed our economy got a bailout. How does that make sense?",False,848611239949344768,41080,tweetdeck,False,14635,False,en,Sun Apr 02 19:01:00 +0000 2017,student studies hard gets hit insurmountable debt yet bankers crashed economy got bailout make sense,a student who studies hard gets hit with insurmountable debt yet bankers who crashed our economy got a bailout how does that make sense
False,"Real change will not be led from Washington, DC. It will be led at the grassroots level in 50 states.",False,848561920949014528,13702,tweetdeck,False,3524,False,en,Sun Apr 02 15:45:02 +0000 2017,real change led washington dc led grassroots level states,real change will not be led from washington dc it will be led at the grassroots level in states
False,Remember: defeating Republicans’ Obamacare repeal was just the start. Our job is to keep fighting for affordable health care for everyone.,False,848549335608545281,15251,tweetdeck,False,3189,False,en,Sun Apr 02 14:55:01 +0000 2017,remember defeating republicans obamacare repeal start job keep fighting affordable health care everyone,remember defeating republicans obamacare repeal was just the start our job is to keep fighting for affordable health care for everyone
False,"Ordinary people are taking matters into their own hands to transform our energy system, with or without Washington's help. That matters.",False,848290880326746112,14296,tweetdeck,False,3034,False,en,Sat Apr 01 21:48:01 +0000 2017,ordinary people taking matters hands transform energy system without washington help matters,ordinary people are taking matters into their own hands to transform our energy system with or without washington s help that matters
False,"Despite the disaster of the Trump presidency, our progressive ideas are winning. https://t.co/Pa5dfVCMhB",False,848254893156585472,7929,tweetdeck,False,1906,False,en,Sat Apr 01 19:25:00 +0000 2017,despite disaster trump presidency progressive ideas winning,despite the disaster of the trump presidency our progressive ideas are winning
