truncated,text,is_quote_status,id,favorite_count,source,retweeted,retweet_count,favorited,lang,created_at,clean_text,clean_text_with_stopwords
False,Ples honor my memry by dressing ur childrn like me. #Harambe https://t.co/UQhFPS1F5f,False,789943151842557952,20,iphone,False,7,False,en,Sat Oct 22 21:34:58 +0000 2016,ples honor memry dressing ur childrn like harambe,ples honor my memry by dressing ur childrn like me harambe
False,Vote for Harambe. #Clinton #Trump https://t.co/xweMRTYLJf,True,788771939175178240,1,iphone,False,0,False,en,Wed Oct 19 16:00:59 +0000 2016,vote harambe clinton trump,vote for harambe clinton trump
False,#Harambe #Clinton #Trump https://t.co/2xKqwPoKh9,False,788465290967343104,8,iphone,False,3,False,und,Tue Oct 18 19:42:29 +0000 2016,harambe clinton trump,harambe clinton trump
False,"Come, my children. https://t.co/RULTwBL6Jz",False,785566533170847749,4,iphone,False,2,False,en,Mon Oct 10 19:43:51 +0000 2016,come children,come my children
False,Harambe votes for Ken Bone. https://t.co/4sACQyK0Ja,False,785542338135269376,16,iphone,False,5,False,en,Mon Oct 10 18:07:42 +0000 2016,harambe votes ken bone,harambe votes for ken bone
False,#debate #harambe https://t.co/WAehziD7V2,False,785340141472579584,17,iphone,False,8,False,und,Mon Oct 10 04:44:15 +0000 2016,debate harambe,debate harambe
False,"Blessings upon your Monday, my children. -H",False,783017671797288960,10,iphone,False,5,False,en,Mon Oct 03 18:55:35 +0000 2016,blessings upon monday children h,blessings upon your monday my children h
False,ISIS is going to have a very bad day. #Harambe #BombsOutForHarambe https://t.co/rk4cmxb9Ft,False,783014773914951681,12,iphone,False,7,False,en,Mon Oct 03 18:44:04 +0000 2016,isis going bad day harambe bombsoutforharambe,isis is going to have a very bad day harambe bombsoutforharambe
False,Yes pls.  https://t.co/PXqNDfnreb,True,776780841997393920,1,iphone,False,1,False,en,Fri Sep 16 13:52:39 +0000 2016,yes pls,yes pls
False,"I have come to Twitter to visit you my children, but I must return to my heavenly abode. Swipe up to send me back. https://t.co/g1NMCr9qAu",False,775790562167316485,25,iphone,False,10,False,en,Tue Sep 13 20:17:38 +0000 2016,come twitter visit children must return heavenly abode swipe send back,i have come to twitter to visit you my children but i must return to my heavenly abode swipe up to send me back
False,The truth wil set u fre my childrn. #Harambe https://t.co/lhcNitgL9r,False,775429689389166593,22,iphone,False,5,False,en,Mon Sep 12 20:23:39 +0000 2016,truth wil set u fre childrn harambe,the truth wil set u fre my childrn harambe
