truncated,text,is_quote_status,id,favorite_count,source,retweeted,retweet_count,favorited,lang,created_at,clean_text,clean_text_with_stopwords
False,"USA, cop your DN merch here! https://t.co/fd1bhTKCAv 🏄🏻",False,773911009471766528,8,iphone,False,0,False,en,Thu Sep 08 15:48:57 +0000 2016,usa cop dn merch,usa cop your dn merch here
False,"RT @INSANEBLOG1: DEEZ NUTS - NEW VIDEO @deeznutsHC 
https://t.co/Q1kJJDeRPo https://t.co/NheSP7gag1",False,773406268719587328,0,iphone,False,19,False,en,Wed Sep 07 06:23:18 +0000 2016,rt @insaneblog deez nuts new video @deeznutshc,rt @insaneblog deez nuts new video @deeznutshc
False,RT @JJDTD: New @deeznutsHC video up now! https://t.co/xpJO9oqYOg,False,770167445545947136,0,iphone,False,26,False,en,Mon Aug 29 07:53:22 +0000 2016,rt @jjdtd new @deeznutshc video,rt @jjdtd new @deeznutshc video up now
False,RT @JJDTD: @deeznutsHC dropping a new video tomorrow. 🌪 https://t.co/SecS0JGiZZ,False,769524736049242112,0,iphone,False,38,False,en,Sat Aug 27 13:19:28 +0000 2016,rt @jjdtd @deeznutshc dropping new video tomorrow,rt @jjdtd @deeznutshc dropping a new video tomorrow
False,RT @unfdcentral: Cop some rare @deeznutsHC LPs at https://t.co/JFaOGFatDe https://t.co/wRZ1a3X6Zo,False,769524601395306500,0,iphone,False,2,False,en,Sat Aug 27 13:18:56 +0000 2016,rt @unfdcentral cop rare @deeznutshc lps,rt @unfdcentral cop some rare @deeznutshc lps at
False,@cassnicolej same,False,769524573138288640,1,iphone,False,1,False,en,Sat Aug 27 13:18:49 +0000 2016,@cassnicolej,@cassnicolej same
False,@punktastic cheers!,False,769524522894655488,1,iphone,False,0,False,en,Sat Aug 27 13:18:37 +0000 2016,@punktastic cheers,@punktastic cheers
False,RT @punktastic: LIVE: @deeznutsHC with @COATband @GSFROOM @TRCofficial bring hardcore to The Fighting Cocks https://t.co/lKd6w6gdAy https:/…,False,769524461154500608,0,iphone,False,4,False,en,Sat Aug 27 13:18:23 +0000 2016,rt @punktastic live @deeznutshc @coatband @gsfroom @trcofficial bring hardcore fighting cocks https,rt @punktastic live @deeznutshc with @coatband @gsfroom @trcofficial bring hardcore to the fighting cocks https
False,RT @SonicFair: Semangat baja utk pagi ini bersiap menyambut pesta #MagnitudeSonicfair Bandung https://t.co/RJkPxiTJIv,False,759770321276710913,0,iphone,False,25,False,in,Sun Jul 31 15:18:55 +0000 2016,rt @sonicfair semangat baja utk pagi ini bersiap menyambut pesta magnitudesonicfair bandung,rt @sonicfair semangat baja utk pagi ini bersiap menyambut pesta magnitudesonicfair bandung
False,"RT @northblastfest: #MagnitudeNorthblast Medan
@slankdotcom 
@suicidesilence 
@burgerkill 
@FApocalypse 
@thesigit 
@deeznutsHC https://t.c…",False,759770309520089088,0,iphone,False,11,False,ht,Sun Jul 31 15:18:52 +0000 2016,rt @northblastfest magnitudenorthblast medan @slankdotcom @suicidesilence @burgerkill @fapocalypse @thesigit @deeznutshc,rt @northblastfest magnitudenorthblast medan @slankdotcom @suicidesilence @burgerkill @fapocalypse @thesigit @deeznutshc
False,RT @northblastfest: Inilah poster resmi #MagnitudeNorthblast Medan 2016.. Sebarkan! https://t.co/YGkGZZ7Hd9,False,759770293418074113,0,iphone,False,42,False,in,Sun Jul 31 15:18:48 +0000 2016,rt @northblastfest inilah poster resmi magnitudenorthblast medan sebarkan,rt @northblastfest inilah poster resmi magnitudenorthblast medan sebarkan
False,"RT @SonicFair: #MagnitudeSonicfair Bandung
28 Agustus 2016
Disjas Baros Cimahi
@suicidesilence @FApocalypse @deeznutsHC @burgerkill https:/…",False,758016627850043393,0,iphone,False,117,False,in,Tue Jul 26 19:10:22 +0000 2016,rt @sonicfair magnitudesonicfair bandung agustus disjas baros cimahi @suicidesilence @fapocalypse @deeznutshc @burgerkill https,rt @sonicfair magnitudesonicfair bandung agustus disjas baros cimahi @suicidesilence @fapocalypse @deeznutshc @burgerkill https
False,RT @northblastfest: Selain @suicidesilence @FApocalypse @deeznutsHC akan ada band nasional dan tentunya band2 Medan juga sekitarnya di #Mag…,False,758016613941649408,0,iphone,False,2,False,in,Tue Jul 26 19:10:18 +0000 2016,rt @northblastfest selain @suicidesilence @fapocalypse @deeznutshc akan ada band nasional dan tentunya band medan juga sekitarnya di mag,rt @northblastfest selain @suicidesilence @fapocalypse @deeznutshc akan ada band nasional dan tentunya band medan juga sekitarnya di mag
False,RT @taaupdates: PERTH! The guys will be headlining RedFest this New Years Eve with @Northlane @deeznutsHC @HellionsAus @mtstweets https://t…,False,756270836672266242,0,iphone,False,6,False,en,Thu Jul 21 23:33:12 +0000 2016,rt @taaupdates perth guys headlining redfest new years eve @northlane @deeznutshc @hellionsaus @mtstweets,rt @taaupdates perth the guys will be headlining redfest this new years eve with @northlane @deeznutshc @hellionsaus @mtstweets
False,Next month! https://t.co/K7pilrfsgj,False,756226545681739776,9,iphone,False,7,False,en,Thu Jul 21 20:37:13 +0000 2016,next month,next month
False,"RT @northblastfest: #MagnitudeNorthblast Medan
27 Agustus 2016
PRSU Tapian Daya Medan
@suicidesilence @FApocalypse @deeznutsHC dll https://…",False,756226169897230337,0,iphone,False,7,False,in,Thu Jul 21 20:35:43 +0000 2016,rt @northblastfest magnitudenorthblast medan agustus prsu tapian daya medan @suicidesilence @fapocalypse @deeznutshc dll https,rt @northblastfest magnitudenorthblast medan agustus prsu tapian daya medan @suicidesilence @fapocalypse @deeznutshc dll https
False,RT @bluntmag: .@amityaffliction + @Northlane + @deeznutsHC + @HellionsAus lead #Redfest NYE lineup: https://t.co/KyhkoHqxa7 https://t.co/X6…,False,756226014078988289,0,iphone,False,20,False,en,Thu Jul 21 20:35:06 +0000 2016,rt @bluntmag @amityaffliction @northlane @deeznutshc @hellionsaus lead redfest nye lineup,rt @bluntmag @amityaffliction @northlane @deeznutshc @hellionsaus lead redfest nye lineup
False,"RT @SonicFair: Semangat baja utk tengah pekan ini
Sampai jumpa 28 Agustus di Disjas Baros Cimahi utk #MagnitudeSonicfair Bandung https://t.…",False,756225937822195712,0,iphone,False,22,False,in,Thu Jul 21 20:34:48 +0000 2016,rt @sonicfair semangat baja utk tengah pekan ini sampai jumpa agustus di disjas baros cimahi utk magnitudesonicfair bandung,rt @sonicfair semangat baja utk tengah pekan ini sampai jumpa agustus di disjas baros cimahi utk magnitudesonicfair bandung
False,RT @OneHeartbeatFR: @deeznutsHC le mois dernier à #LaMarquise (Lyon) ! 📷 @pavillon666 #DeezNuts #Lyon #hardcore #Lyonhardcore #concert http…,False,756225870633676800,0,iphone,False,1,False,fr,Thu Jul 21 20:34:32 +0000 2016,rt @oneheartbeatfr @deeznutshc le mois dernier lamarquise lyon @pavillon deeznuts lyon hardcore lyonhardcore concert http,rt @oneheartbeatfr @deeznutshc le mois dernier lamarquise lyon @pavillon deeznuts lyon hardcore lyonhardcore concert http
False,RT @riskithc: Destruction Derby next month!! https://t.co/lysrJuZOAp,False,756225729465950208,0,iphone,False,4,False,en,Thu Jul 21 20:33:58 +0000 2016,rt @riskithc destruction derby next month,rt @riskithc destruction derby next month
