truncated,text,is_quote_status,id,favorite_count,source,retweeted,retweet_count,favorited,lang,created_at,clean_text,clean_text_with_stopwords
False,Republicans must get out today and VOTE in Georgia 6. Force runoff and easy win! Dem Ossoff will raise your taxes-very bad on crime &amp; 2nd A.,False,854284952539725828,40521,iphone,False,12102,False,en,Tue Apr 18 10:46:19 +0000 2017,republicans must get today vote georgia force runoff easy win dem ossoff raise taxes bad crime nd,republicans must get out today and vote in georgia force runoff and easy win dem ossoff will raise your taxes very bad on crime nd a
False,"Democrat Jon Ossoff would be a disaster in Congress. VERY weak on crime and illegal immigration, bad for jobs and wants higher taxes. Say NO",False,854283110191685634,35451,iphone,False,10245,False,en,Tue Apr 18 10:38:59 +0000 2017,democrat jon ossoff would disaster congress weak crime illegal immigration bad jobs wants higher taxes say,democrat jon ossoff would be a disaster in congress very weak on crime and illegal immigration bad for jobs and wants higher taxes say no
False,I will be interviewed on @foxandfriends by @ainsleyearhardt starting at 6:00 A.M. Enjoy!,False,854270321620287490,22230,iphone,False,3499,False,en,Tue Apr 18 09:48:10 +0000 2017,interviewed @foxandfriends @ainsleyearhardt starting enjoy,i will be interviewed on @foxandfriends by @ainsleyearhardt starting at a m enjoy
False,The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!,False,854268119774367745,47526,iphone,False,11971,False,en,Tue Apr 18 09:39:25 +0000 2017,weak illegal immigration policies obama admin allowed bad ms gangs form cities across u removing fast,the weak illegal immigration policies of the obama admin allowed bad ms gangs to form in cities across u s we are removing them fast
False,"With eleven Republican candidates running in Georgia (on Tuesday) for Congress, a runoff will be a win. Vote ""R"" for lower taxes &amp; safety!",False,854157191053553666,48680,iphone,False,11830,False,en,Tue Apr 18 02:18:38 +0000 2017,eleven republican candidates running georgia tuesday congress runoff win vote r lower taxes safety,with eleven republican candidates running in georgia on tuesday for congress a runoff will be a win vote r for lower taxes safety
False,"See you tomorrow Wisconsin!

'Trump spurs small-business optimism in Milwaukee area'
https://t.co/JUxhO3oqjO",False,854102644394254341,35286,iphone,False,7441,False,en,Mon Apr 17 22:41:53 +0000 2017,see tomorrow wisconsin trump spurs small business optimism milwaukee area,see you tomorrow wisconsin trump spurs small business optimism in milwaukee area
False,"TRUMP APPROVAL HITS 50%
https://t.co/vjZkGTyQb9",False,854101790886948866,47374,iphone,False,9370,False,en,Mon Apr 17 22:38:30 +0000 2017,trump approval hits,trump approval hits
False,RT @DRUDGE_REPORT: TRUMP APPROVAL HITS 50% https://t.co/TruX3WzR3U,False,853965129024712704,0,iphone,False,7035,False,en,Mon Apr 17 13:35:27 +0000 2017,rt @drudge report trump approval hits,rt @drudge report trump approval hits
False,"The super Liberal Democrat in the Georgia Congressioal race tomorrow wants to protect criminals, allow illegal immigration and raise taxes!",False,853964023846588420,55960,iphone,False,18594,False,en,Mon Apr 17 13:31:03 +0000 2017,super liberal democrat georgia congressioal race tomorrow wants protect criminals allow illegal immigration raise taxes,the super liberal democrat in the georgia congressioal race tomorrow wants to protect criminals allow illegal immigration and raise taxes
False,The Fake Media (not Real Media) has gotten even worse since the election. Every story is badly slanted. We have to hold them to the truth!,False,853945633903923200,76232,iphone,False,17300,False,en,Mon Apr 17 12:17:59 +0000 2017,fake media real media gotten even worse since election every story badly slanted hold truth,the fake media not real media has gotten even worse since the election every story is badly slanted we have to hold them to the truth
False,"A great book for your reading enjoyment: ""REASONS TO VOTE FOR DEMOCRATS"" by Michael J. Knowles.",False,853944453538750464,48219,iphone,False,11721,False,en,Mon Apr 17 12:13:17 +0000 2017,great book reading enjoyment reasons vote democrats michael j knowles,a great book for your reading enjoyment reasons to vote for democrats by michael j knowles
False,"""The first 90 days of my presidency has exposed the total failure of the last eight years of foreign policy!"" So true. @foxandfriends",False,853942936337350656,69856,iphone,False,15193,False,en,Mon Apr 17 12:07:16 +0000 2017,first days presidency exposed total failure last eight years foreign policy true @foxandfriends,the first days of my presidency has exposed the total failure of the last eight years of foreign policy so true @foxandfriends
False,"The recent Kansas election (Congress) was a really big media event, until the Republicans won. Now they play the same game with Georgia-BAD!",False,853771244579282944,60338,iphone,False,12360,False,en,Mon Apr 17 00:45:01 +0000 2017,recent kansas election congress really big media event republicans play game georgia bad,the recent kansas election congress was a really big media event until the republicans won now they play the same game with georgia bad
False,"Our military is building and is rapidly becoming stronger than ever before. Frankly, we have no choice!",False,853604334944354305,100572,iphone,False,20237,False,en,Sun Apr 16 13:41:47 +0000 2017,military building rapidly becoming stronger ever frankly choice,our military is building and is rapidly becoming stronger than ever before frankly we have no choice
False,Someone should look into who paid for the small organized rallies yesterday. The election is over!,False,853597199619543041,93023,iphone,False,20874,False,en,Sun Apr 16 13:13:26 +0000 2017,someone look paid small organized rallies yesterday election,someone should look into who paid for the small organized rallies yesterday the election is over
False,I did what was an almost an impossible thing to do for a Republican-easily won the Electoral College! Now Tax Returns are brought up again?,False,853595628655587334,68188,iphone,False,12070,False,en,Sun Apr 16 13:07:11 +0000 2017,almost impossible thing republican easily electoral college tax returns brought,i did what was an almost an impossible thing to do for a republican easily won the electoral college now tax returns are brought up again
False,Happy Easter to everyone!,False,853584968047636480,184101,iphone,False,40920,False,en,Sun Apr 16 12:24:49 +0000 2017,happy easter everyone,happy easter to everyone
False,Why would I call China a currency manipulator when they are working with us on the North Korean problem? We will see what happens!,False,853583417916755968,69905,iphone,False,14722,False,en,Sun Apr 16 12:18:40 +0000 2017,would call china currency manipulator working us north korean problem see happens,why would i call china a currency manipulator when they are working with us on the north korean problem we will see what happens
False,RT @FLOTUS: Looking forward to hosting the annual Easter Egg Roll at the @WhiteHouse on Monday! https://t.co/nz7vucugx9,False,853001499747725317,0,iphone,False,17258,False,en,Fri Apr 14 21:46:20 +0000 2017,rt @flotus looking forward hosting annual easter egg roll @whitehouse monday,rt @flotus looking forward to hosting the annual easter egg roll at the @whitehouse on monday
False,Weekly Address- https://t.co/tpZ7eqJLUH https://t.co/B2NQzj53ft,False,852985162870738944,32165,iphone,False,6945,False,en,Fri Apr 14 20:41:25 +0000 2017,weekly address,weekly address
False,RT @DRUDGE_REPORT: GREAT AGAIN: FEDS ARREST MURDER SUSPECT IN 'FAST AND FURIOUS' SCANDAL... https://t.co/clOLxTE3D4,False,852722680851779584,0,iphone,False,5712,False,en,Fri Apr 14 03:18:24 +0000 2017,rt @drudge report great feds arrest murder suspect fast furious scandal,rt @drudge report great again feds arrest murder suspect in fast and furious scandal
False,It was a great honor to welcome Atlanta's heroic first responders to the White House this afternoon! https://t.co/ZtC14AJ0xs,False,852602568433950720,73777,iphone,False,12852,False,en,Thu Apr 13 19:21:07 +0000 2017,great honor welcome atlanta heroic first responders white house afternoon,it was a great honor to welcome atlanta s heroic first responders to the white house this afternoon
False,Things will work out fine between the U.S.A. and Russia. At the right time everyone will come to their senses &amp; there will be lasting peace!,False,852510810287075329,110566,iphone,False,24201,False,en,Thu Apr 13 13:16:30 +0000 2017,things work fine u russia right time everyone come senses lasting peace,things will work out fine between the u s a and russia at the right time everyone will come to their senses there will be lasting peace
False,"I have great confidence that China will properly deal with North Korea. If they are unable to do so, the U.S., with its allies, will! U.S.A.",False,852508752142114816,112193,iphone,False,28172,False,en,Thu Apr 13 13:08:20 +0000 2017,great confidence china properly deal north korea unable u allies u,i have great confidence that china will properly deal with north korea if they are unable to do so the u s with its allies will u s a
False,"Jobs are returning, illegal immigration is plummeting, law, order and justice are being restored. We are truly making America great again!",False,852318522139168769,138939,iphone,False,30645,False,en,Thu Apr 13 00:32:25 +0000 2017,jobs returning illegal immigration plummeting law order justice restored truly making america great,jobs are returning illegal immigration is plummeting law order and justice are being restored we are truly making america great again
False,"One by one we are keeping our promises - on the border, on energy, on jobs, on regulations. Big changes are happening!",False,852297935219982336,94422,iphone,False,17708,False,en,Wed Apr 12 23:10:37 +0000 2017,one one keeping promises border energy jobs regulations big changes happening,one by one we are keeping our promises on the border on energy on jobs on regulations big changes are happening
False,Economic confidence is soaring as we unleash the power of private sector job creation and stand up for the American Workers. #AmericaFirst,False,852297762599313409,64268,iphone,False,12047,False,en,Wed Apr 12 23:09:56 +0000 2017,economic confidence soaring unleash power private sector job creation stand american workers americafirst,economic confidence is soaring as we unleash the power of private sector job creation and stand up for the american workers americafirst
True,Great meeting w/ NATO Sec. Gen. We agreed on the importance of getting countries to pay their fair share &amp; focus on… https://t.co/G9TdjWezmH,False,852277347587952640,52092,iphone,False,10663,False,en,Wed Apr 12 21:48:48 +0000 2017,great meeting w nato sec gen agreed importance getting countries pay fair share focus,great meeting w nato sec gen we agreed on the importance of getting countries to pay their fair share focus on
False,"Great win in Kansas last night for Ron Estes, easily winning the Congressional race against the Dems, who spent heavily &amp; predicted victory!",False,852138509355933697,71591,iphone,False,13158,False,en,Wed Apr 12 12:37:07 +0000 2017,great win kansas last night ron estes easily winning congressional race dems spent heavily predicted victory,great win in kansas last night for ron estes easily winning the congressional race against the dems who spent heavily predicted victory
False,Had a very good call last night with the President of China concerning the menace of North Korea.,False,852134796436398086,92316,iphone,False,19700,False,en,Wed Apr 12 12:22:22 +0000 2017,good call last night president china concerning menace north korea,had a very good call last night with the president of china concerning the menace of north korea
False,I will be interviewed by @MariaBartiromo at 6:00 A.M. @FoxBusiness. Enjoy!,False,851997299454742528,40297,iphone,False,6182,False,en,Wed Apr 12 03:16:00 +0000 2017,interviewed @mariabartiromo @foxbusiness enjoy,i will be interviewed by @mariabartiromo at a m @foxbusiness enjoy
True,Great Strategic &amp; Policy CEO Forum today with my Cabinet Secretaries and top CEO's from around the United States.… https://t.co/pmGIL08OpP,False,851894518014238720,43254,iphone,False,8605,False,en,Tue Apr 11 20:27:35 +0000 2017,great strategic policy ceo forum today cabinet secretaries top ceo around united states,great strategic policy ceo forum today with my cabinet secretaries and top ceo s from around the united states
False,"Ron Estes is running TODAY for Congress in the Great State of Kansas. A wonderful guy, I need his help on Healthcare &amp; Tax Cuts (Reform).",False,851781714028494849,58257,iphone,False,12274,False,en,Tue Apr 11 12:59:20 +0000 2017,ron estes running today congress great state kansas wonderful guy need help healthcare tax cuts reform,ron estes is running today for congress in the great state of kansas a wonderful guy i need his help on healthcare tax cuts reform
False,"North Korea is looking for trouble. If China decides to help, that would be great. If not, we will solve the problem without them!  U.S.A.",False,851767718248361986,136273,iphone,False,54028,False,en,Tue Apr 11 12:03:43 +0000 2017,north korea looking trouble china decides help would great solve problem without u,north korea is looking for trouble if china decides to help that would be great if not we will solve the problem without them u s a
False,I explained to the President of China that a trade deal with the U.S. will be far better for them if they solve the North Korean problem!,False,851766546825347076,81325,iphone,False,19220,False,en,Tue Apr 11 11:59:04 +0000 2017,explained president china trade deal u far better solve north korean problem,i explained to the president of china that a trade deal with the u s will be far better for them if they solve the north korean problem
False,RT @foxnation: Grateful Syrians React To @realDonaldTrump Strike: 'I'll Name My Son Donald' https://t.co/7KexXsXLUx #SyrianStrikes,False,851763890786635776,0,iphone,False,6181,False,en,Tue Apr 11 11:48:31 +0000 2017,rt @foxnation grateful syrians react @realdonaldtrump strike name son donald syrianstrikes,rt @foxnation grateful syrians react to @realdonaldtrump strike i ll name my son donald syrianstrikes
False,"Happy Passover to everyone celebrating in the United States of America, Israel, and around the world. #ChagSameach",False,851584729400979456,89159,iphone,False,16792,False,en,Mon Apr 10 23:56:35 +0000 2017,happy passover everyone celebrating united states america israel around world chagsameach,happy passover to everyone celebrating in the united states of america israel and around the world chagsameach
True,Congratulations to Justice Neil Gorsuch on his elevation to the United States Supreme Court. A great day for Americ… https://t.co/RM9lfTaePS,False,851555178910064640,79474,ads,False,15761,False,en,Mon Apr 10 21:59:10 +0000 2017,congratulations justice neil gorsuch elevation united states supreme court great day americ,congratulations to justice neil gorsuch on his elevation to the united states supreme court a great day for americ
False,Thank you @USNavy! #USA https://t.co/oD7L8vPgjq,True,851247294854856706,71592,iphone,False,14549,False,en,Mon Apr 10 01:35:45 +0000 2017,thank @usnavy usa,thank you @usnavy usa
