source,created_at,is_retweet,text,clean_text,clean_text_with_stopwords
other,Tue Dec 29 20:12:24 +0000 2009,False,Monday is the deadline for nominations for the Brad Edwards Consumer Champion Award. Info & form at http://bit.ly/6xxtpM #AGOs,monday deadline nominations brad edwards consumer champion award info form agos,monday is the deadline for nominations for the brad edwards consumer champion award info form at agos
other,Tue Dec 29 17:17:21 +0000 2009,False,AG Edmondson & State Fraternal Order of Police want Oklahomans to celebrate the new year safely. http://bit.ly/8fcNQ5 #AGOs,ag edmondson state fraternal order police want oklahomans celebrate new year safely agos,ag edmondson state fraternal order of police want oklahomans to celebrate the new year safely agos
other,Tue Dec 22 20:02:44 +0000 2009,False,There is still time to nominate a worthy Oklahoman for the Brad Edwards Consumer Champion Award. Info & form at http://bit.ly/6xxtpM #AGOs,still time nominate worthy oklahoman brad edwards consumer champion award info form agos,there is still time to nominate a worthy oklahoman for the brad edwards consumer champion award info form at agos
other,Fri Dec 18 14:51:45 +0000 2009,False,AG Edmondson is the guest on Flash Point this Sunday on KFOR. #AGOs,ag edmondson guest flash point sunday kfor agos,ag edmondson is the guest on flash point this sunday on kfor agos
other,Tue Dec 15 15:30:16 +0000 2009,False,AG Edmondson will be on KAUT Rise and Shine tomorrow at 7:10 am to talk about the Brad Edwards Consumer Champion Award. #AGOs,ag edmondson kaut rise shine tomorrow talk brad edwards consumer champion award agos,ag edmondson will be on kaut rise and shine tomorrow at am to talk about the brad edwards consumer champion award agos
other,Tue Dec 15 15:30:02 +0000 2009,False,Watch AG Edmondson on KFOR tomorrow at 6:45 am discussing the Brad Edwards Consumer Champion Award. #AGOs,watch ag edmondson kfor tomorrow discussing brad edwards consumer champion award agos,watch ag edmondson on kfor tomorrow at am discussing the brad edwards consumer champion award agos
other,Mon Dec 14 17:10:45 +0000 2009,False,Tulsa Co. prelim hearing for former ME investigator Kevin Rowland on four counts of sexual battery rescheduled for Feb. 16. #AGOs,tulsa co prelim hearing former investigator kevin rowland four counts sexual battery rescheduled feb agos,tulsa co prelim hearing for former me investigator kevin rowland on four counts of sexual battery rescheduled for feb agos
other,Fri Dec 11 19:07:52 +0000 2009,False,Former Commish of the Land Office auditor Roger Melson Jr ordered to trial on charges he embezzled about $1.2 mil http://bit.ly/4Nn9SN #AGOs,former commish land office auditor roger melson jr ordered trial charges embezzled mil agos,former commish of the land office auditor roger melson jr ordered to trial on charges he embezzled about mil agos
other,Thu Dec 10 22:03:58 +0000 2009,False,Oklahoma to receive almost $40 million to fund cleanup & restoration at contaminated mining sites incl Tar Creek. http://bit.ly/7fkjN5 #AGOs,oklahoma receive almost million fund cleanup restoration contaminated mining sites incl tar creek agos,oklahoma to receive almost million to fund cleanup restoration at contaminated mining sites incl tar creek agos
other,Mon Dec 07 20:25:43 +0000 2009,False,"Roger Melson, Jr., charged w/ embezzling $1.16 mil from Commissioners of the Land Office, set for Oklahoma Co prelim hearing Fri. 9am #AGOs",roger melson jr charged w embezzling mil commissioners land office set oklahoma co prelim hearing fri agos,roger melson jr charged w embezzling mil from commissioners of the land office set for oklahoma co prelim hearing fri am agos
