source,text,created_at,is_retweet,clean_text,clean_text_with_stopwords
other,it's important to note that card check will hurt processors like Red Gold in my district tremendously,Thu May 14 18:12:26 +0000 2009,False,important note card check hurt processors like red gold district tremendously,it s important to note that card check will hurt processors like red gold in my district tremendously
other,My interview with Dylan Ratigan on MSNBC's Morning Meeting from earlier re: the #GOP alternative #healthcare plan: http://ow.ly/zbsW #tcot,Wed Nov 04 15:17:53 +0000 2009,False,interview dylan ratigan msnbc morning meeting earlier gop alternative healthcare plan tcot,my interview with dylan ratigan on msnbc s morning meeting from earlier re the gop alternative healthcare plan tcot
other,"I will be on @FOXNews' ""@LiveDesk"" around 2:00 PM to discuss #Afghanistan strategy. #tcot",Wed Dec 02 17:51:35 +0000 2009,False,@foxnews @livedesk around pm discuss afghanistan strategy tcot,i will be on @foxnews @livedesk around pm to discuss afghanistan strategy tcot
other,"My ""Power Lunch"" appearance on @CNBCTV now on YouTube: http://tr.im/uMEF #healthcare #healthbill #hcr09 #healthcare09 #tcot #GOP",Thu Jul 30 18:00:49 +0000 2009,False,power lunch appearance @cnbctv youtube healthcare healthbill hcr healthcare tcot gop,my power lunch appearance on @cnbctv now on youtube healthcare healthbill hcr healthcare tcot gop
other,"@Shoholanana What I said then, and what I did - you deserve 100% of your money back:  http://tr.im/oxSc and more info:  http://tr.im/oxSo",Mon Jun 15 14:55:54 +0000 2009,False,@shoholanana said deserve money back info,@shoholanana what i said then and what i did you deserve of your money back and more info
other,"@WSJ editorial: ""The Honduras Mess"" http://ow.ly/qKs4 #tcot",Wed Sep 23 19:49:10 +0000 2009,False,@wsj editorial honduras mess tcot,@wsj editorial the honduras mess tcot
other,WSJ reports on new polling showing Dems losing trust of American people http://amplify.com/u/16z0,Thu Dec 17 14:16:50 +0000 2009,False,wsj reports new polling showing dems losing trust american people,wsj reports on new polling showing dems losing trust of american people
other,"""The American Energy Act is the Answer American People are Looking For"" - http://ow.ly/dBmJ #AESG #nuclear #tcot (@gopconference)",Thu Jun 11 23:34:01 +0000 2009,False,american energy act answer american people looking aesg nuclear tcot @gopconference,the american energy act is the answer american people are looking for aesg nuclear tcot @gopconference
other,RT @GOPLeader: AP: Rising Debt May be Next Crisis http://bit.ly/Dw6YF #tcot,Tue Jul 07 03:02:28 +0000 2009,False,rt @gopleader ap rising debt may next crisis tcot,rt @gopleader ap rising debt may be next crisis tcot
other,"I'll be going on @CNBCTV's ""Power Lunch"" to discuss #healthcare reform with Rep. Allyson Schwartz (D-PA) at 1:20 PM EDT. #healthbill #tcot",Thu Jul 30 17:06:50 +0000 2009,False,going @cnbctv power lunch discuss healthcare reform rep allyson schwartz pa pm edt healthbill tcot,i ll be going on @cnbctv s power lunch to discuss healthcare reform with rep allyson schwartz d pa at pm edt healthbill tcot
other,"My closing remarks on H. Res. 560, our bipartisan resolution on #IranElection is also up on #YouTube: http://ow.ly/f2oN #tcot #gr88",Fri Jun 19 15:23:33 +0000 2009,False,closing remarks h res bipartisan resolution iranelection also youtube tcot gr,my closing remarks on h res our bipartisan resolution on iranelection is also up on youtube tcot gr
other,RT @gopconference: In case you missed it: The Republican Road to Recovery: http://tinyurl.com/c4cm9r (@robert_penny),Sat Mar 28 15:50:08 +0000 2009,False,rt @gopconference case missed republican road recovery @robert penny,rt @gopconference in case you missed it the republican road to recovery @robert penny
other,I will be appearing on CNN's Lou Dobbs Tonight program at 7:10 PM EDT. #tcot,Mon Apr 20 21:08:27 +0000 2009,False,appearing cnn lou dobbs tonight program pm edt tcot,i will be appearing on cnn s lou dobbs tonight program at pm edt tcot
other,Pictures from last nights dinner with @IndianaChamber: http://ow.ly/qRqw #INtcot #Hoosier,Thu Sep 24 13:26:56 +0000 2009,False,pictures last nights dinner @indianachamber intcot hoosier,pictures from last nights dinner with @indianachamber intcot hoosier
other,About to go on WLBC with Steve...RT @wlbc: getting ready to talk to Mike Pence at 8a - any questions? #tcot #Indiana #radio #Pence,Wed Mar 18 11:48:16 +0000 2009,False,go wlbc steve rt @wlbc getting ready talk mike pence questions tcot indiana radio pence,about to go on wlbc with steve rt @wlbc getting ready to talk to mike pence at a any questions tcot indiana radio pence
other,"On my blog now, ""The Economics of Earmarking - An Essay"" http://ow.ly/fJ7T #spending #government #tcot #INtcot",Wed Jun 24 13:30:07 +0000 2009,False,blog economics earmarking essay spending government tcot intcot,on my blog now the economics of earmarking an essay spending government tcot intcot
other,"RT @GOPLeader: @gopconference introduced ""Keep Terrorists Out of America Act"" to Stop Terrorists Being Imported to US: http://bit.ly/1Q53js",Tue Dec 15 15:58:17 +0000 2009,False,rt @gopleader @gopconference introduced keep terrorists america act stop terrorists imported us,rt @gopleader @gopconference introduced keep terrorists out of america act to stop terrorists being imported to us
other,"On my #YouTube now, last night's interview with @kingsthings on @CNN's ""Larry King Live"" - http://ow.ly/fJmJ #IranElection #gr88 #tcot",Wed Jun 24 14:08:52 +0000 2009,False,youtube last night interview @kingsthings @cnn larry king live iranelection gr tcot,on my youtube now last night s interview with @kingsthings on @cnn s larry king live iranelection gr tcot
other,"I am going on ""Hardball"" at 5:00 PM opposite Rep. Barbara Lee (CA) to talk re: Obama's 1st 50 days in office. Tune in! #tcot #msnbc #pence",Tue Mar 10 20:44:13 +0000 2009,False,going hardball pm opposite rep barbara lee ca talk obama st days office tune tcot msnbc pence,i am going on hardball at pm opposite rep barbara lee ca to talk re obama s st days in office tune in tcot msnbc pence
other,@IndyStar reports: Ind. #unemployment rate is now 10.7% http://ow.ly/hwK0 - #wherearethejobs #stimulus hasn't worked (@gopconference) #tcot,Fri Jul 17 15:56:02 +0000 2009,False,@indystar reports ind unemployment rate wherearethejobs stimulus worked @gopconference tcot,@indystar reports ind unemployment rate is now wherearethejobs stimulus hasn t worked @gopconference tcot
other,"I am about to speak on the House floor about my amendment. #DEFUND the largest abortion provider, Planned Parenthood. #prolife #life #tcot",Fri Jul 24 14:17:37 +0000 2009,False,speak house floor amendment defund largest abortion provider planned parenthood prolife life tcot,i am about to speak on the house floor about my amendment defund the largest abortion provider planned parenthood prolife life tcot
other,"Now on my way to @Bloomberg_News. Different channel, same story: gov't takeover of #healthcare is a bad deal for America #tcot #healthbill",Thu Jul 30 17:30:28 +0000 2009,False,way @bloomberg news different channel story gov takeover healthcare bad deal america tcot healthbill,now on my way to @bloomberg news different channel same story gov t takeover of healthcare is a bad deal for america tcot healthbill
other,Cap and trade energy legislation is nothing more than a national energy tax - http://tr.im/m2BT #tcot,Thu May 21 22:13:24 +0000 2009,False,cap trade energy legislation nothing national energy tax tcot,cap and trade energy legislation is nothing more than a national energy tax tcot
other,My op-ed on a federal media shield in today's @washtimes: http://ow.ly/qQPE #tcot,Thu Sep 24 12:27:41 +0000 2009,False,op ed federal media shield today @washtimes tcot,my op ed on a federal media shield in today s @washtimes tcot
other,"Back to Foreign Affairs Committee hearing with Sec Gates, Clinton and Adm. Mullen re: #Afghanistan. #tcot",Wed Dec 02 19:19:04 +0000 2009,False,back foreign affairs committee hearing sec gates clinton adm mullen afghanistan tcot,back to foreign affairs committee hearing with sec gates clinton and adm mullen re afghanistan tcot
other,"RT @GOPLeader WaPo editorial: A $300 billion deception: Democrats play make-believe, but the bill to taxpayers is real http://bit.ly/330etu",Mon Nov 16 12:36:52 +0000 2009,False,rt @gopleader wapo editorial billion deception democrats play make believe bill taxpayers real,rt @gopleader wapo editorial a billion deception democrats play make believe but the bill to taxpayers is real
other,I'll be on @LiveDesk to discuss #healthcare reform at 2:40 PM EDT,Mon Aug 31 18:00:01 +0000 2009,False,@livedesk discuss healthcare reform pm edt,i ll be on @livedesk to discuss healthcare reform at pm edt
other,I'll be on @FoxNewsSunday today with host Chris Wallace. Check foxnews.com/fns/ for more details. #tcot #INtcot #GOP (@GOPConference),Sun Aug 02 12:42:53 +0000 2009,False,@foxnewssunday today host chris wallace check foxnews com fns details tcot intcot gop @gopconference,i ll be on @foxnewssunday today with host chris wallace check foxnews com fns for more details tcot intcot gop @gopconference
other,"RT @gopconference: Exclusive New Video: ""Behind Closed Doors"" http://bit.ly/jVjkm #GOP #tcot #hcr",Thu Oct 22 22:13:42 +0000 2009,False,rt @gopconference exclusive new video behind closed doors gop tcot hcr,rt @gopconference exclusive new video behind closed doors gop tcot hcr
other,"@RepPaulRyan op-ed: ""Government puts itself, not patients, in control of #healthcare"" -  http://tr.im/tarJ #healthcare09 #healthbill #tcot",Mon Jul 20 14:50:59 +0000 2009,False,@reppaulryan op ed government puts patients control healthcare healthcare healthbill tcot,@reppaulryan op ed government puts itself not patients in control of healthcare healthcare healthbill tcot
other,"""Where are the Jobs?"" http://bit.ly/155nuh (@gopconference) #wherearethejobs #tcot #RIGHT #GOP",Thu Oct 15 20:16:10 +0000 2009,False,jobs @gopconference wherearethejobs tcot right gop,where are the jobs @gopconference wherearethejobs tcot right gop
other,RT @HouseFloor: 7:16 P.M. - Agreed to: (RC #192). Motion to reconsider laid on the table Agreed to without objection. 7:00 P.M. - NO R's Yes,Thu Apr 02 23:24:14 +0000 2009,False,rt @housefloor p agreed rc motion reconsider laid table agreed without objection p r yes,rt @housefloor p m agreed to rc motion to reconsider laid on the table agreed to without objection p m no r s yes
other,RT @RepDaveCamp: CBS News: Five Health Care Promises Obama Won't Keep: http://bit.ly/41Aq2 #HC09 #tcot #healthcare #HCR,Tue Sep 22 15:30:18 +0000 2009,False,rt @repdavecamp cbs news five health care promises obama keep hc tcot healthcare hcr,rt @repdavecamp cbs news five health care promises obama won t keep hc tcot healthcare hcr
other,Rep. Ed Royce in Investor's Business Daily: Public Option Will Kill Off Competition - http://ow.ly/hmWz #healthcare #tcot (@GOPConference),Wed Jul 15 20:11:05 +0000 2009,False,rep ed royce investor business daily public option kill competition healthcare tcot @gopconference,rep ed royce in investor s business daily public option will kill off competition healthcare tcot @gopconference
other,"@GOPConference's new video asks: ""Has the #stimulus done its job?"" http://ow.ly/gMUn #tcot #economy #jobs #spending (better link)",Wed Jul 08 16:42:30 +0000 2009,False,@gopconference new video asks stimulus done job tcot economy jobs spending better link,@gopconference s new video asks has the stimulus done its job tcot economy jobs spending better link
other,Detroit News Editorial: GOP Offers Cheaper Approach To Health Reform http://amplify.com/u/ty9,Fri Nov 06 15:40:35 +0000 2009,False,detroit news editorial gop offers cheaper approach health reform,detroit news editorial gop offers cheaper approach to health reform
other,RT @matthewltully - Gov. Daniels dives into the federal energy policy debate with a Wall Street Journal op-ed today: http://budurl.com/n89j,Fri May 15 15:24:06 +0000 2009,False,rt @matthewltully gov daniels dives federal energy policy debate wall street journal op ed today,rt @matthewltully gov daniels dives into the federal energy policy debate with a wall street journal op ed today
other,"My remarks at the ""Taxpayer March on DC"" this weekend: http://ow.ly/pjuO #freedom #tcot #INtcot #handsoff #healthcare",Mon Sep 14 18:00:59 +0000 2009,False,remarks taxpayer march dc weekend freedom tcot intcot handsoff healthcare,my remarks at the taxpayer march on dc this weekend freedom tcot intcot handsoff healthcare
other,"When gov't  seems to grow everyday, ensuring the vitality of a free and independent press is more important than ever:  http://bit.ly/12uedC",Tue Mar 31 23:36:36 +0000 2009,False,gov seems grow everyday ensuring vitality free independent press important ever,when gov t seems to grow everyday ensuring the vitality of a free and independent press is more important than ever
other,Heed the red flags over red ink | @IndyStar Editorial: http://ow.ly/vEoJ #INtcot #tcot,Wed Oct 21 13:01:05 +0000 2009,False,heed red flags red ink @indystar editorial intcot tcot,heed the red flags over red ink @indystar editorial intcot tcot
other,New York Times: Abortion Deal in Health Bill Sets Off Haggling in Congress http://amplify.com/u/tiu,Thu Nov 05 15:26:59 +0000 2009,False,new york times abortion deal health bill sets haggling congress,new york times abortion deal in health bill sets off haggling in congress
other,RT @GOPLeader - Blog: Boehner Endorses Mandatory Review Period for Major Spending Bills http://bit.ly/Fg51P #tcot #cantor (@gopconference),Thu May 14 20:21:33 +0000 2009,False,rt @gopleader blog boehner endorses mandatory review period major spending bills tcot cantor @gopconference,rt @gopleader blog boehner endorses mandatory review period for major spending bills tcot cantor @gopconference
other,RT @GOPLeader: WaPo: CIA Says Pelosi Was Briefed on Use of 'Enhanced Interrogations' http://bit.ly/16pxzG,Fri May 08 18:32:29 +0000 2009,False,rt @gopleader wapo cia says pelosi briefed use enhanced interrogations,rt @gopleader wapo cia says pelosi was briefed on use of enhanced interrogations
other,Washington Times: Obama: More money needed to boost jobs http://amplify.com/u/132z,Fri Dec 04 14:02:38 +0000 2009,False,washington times obama money needed boost jobs,washington times obama more money needed to boost jobs
other,I'm going to be on @Bloomberg_TV to discuss the national #energy tax (#capandtrade) at 2:10 PM #AESG #tcot #ACES #INtcot (@gopconference),Fri Jun 26 17:58:15 +0000 2009,False,going @bloomberg tv discuss national energy tax capandtrade pm aesg tcot aces intcot @gopconference,i m going to be on @bloomberg tv to discuss the national energy tax capandtrade at pm aesg tcot aces intcot @gopconference
other,"My appearance on NewsHour: ""It's never a good idea to tell the enemy when you're going to quit fighting on a battlefield"" http://ow.ly/KlE1",Wed Dec 09 19:26:18 +0000 2009,False,appearance newshour never good idea tell enemy going quit fighting battlefield,my appearance on newshour it s never a good idea to tell the enemy when you re going to quit fighting on a battlefield
other,"On this tragic anniversary, we remember those we lost, we honor those who rushed in and those who put on the uniform: http://ow.ly/oXRd",Fri Sep 11 14:11:20 +0000 2009,False,tragic anniversary remember lost honor rushed put uniform,on this tragic anniversary we remember those we lost we honor those who rushed in and those who put on the uniform
other,I'll be on 930 WHON with Troy Derengowski around 8:30 AM EDT - http://ow.ly/wWnm #INtcot #Richmond,Wed Oct 28 11:00:41 +0000 2009,False,whon troy derengowski around edt intcot richmond,i ll be on whon with troy derengowski around am edt intcot richmond
other,USA Today: Security concerns hang over #Gitmo inmates' move to heartland http://amplify.com/u/16m9,Wed Dec 16 13:48:32 +0000 2009,False,usa today security concerns hang gitmo inmates move heartland,usa today security concerns hang over gitmo inmates move to heartland
other,"The Choice: Do we want permanent bailouts? Or do we want to end the era of bailouts, once and for all? - http://ow.ly/KDAw #tcot #tlot #GOP",Thu Dec 10 15:49:53 +0000 2009,False,choice want permanent bailouts want end era bailouts tcot tlot gop,the choice do we want permanent bailouts or do we want to end the era of bailouts once and for all tcot tlot gop
other,RT @Heritage new policy paper: Taxes Proposed to Pay for Health Care Reform http://bit.ly/1vh8es,Fri Nov 20 17:39:05 +0000 2009,False,rt @heritage new policy paper taxes proposed pay health care reform,rt @heritage new policy paper taxes proposed to pay for health care reform
other,My floor speech urging Congress to stand in solidarity with those on front lines of the fight for freedom of press http://ow.ly/Mv5P #tcot,Tue Dec 15 23:29:01 +0000 2009,False,floor speech urging congress stand solidarity front lines fight freedom press tcot,my floor speech urging congress to stand in solidarity with those on front lines of the fight for freedom of press tcot
other,RT @GOPLeader: RT @Senate_GOPs: The Baucus bill is bigger than the last two Harry Potter novels combined. [PDF] http://bit.ly/hdbeA #tcot,Tue Oct 20 12:53:12 +0000 2009,False,rt @gopleader rt @senate gops baucus bill bigger last two harry potter novels combined pdf tcot,rt @gopleader rt @senate gops the baucus bill is bigger than the last two harry potter novels combined pdf tcot
other,"http://ow.ly/i3je #stam #prolife #abortion #life: The Time Has Come To Defund Planned Parenthood: Friday, July 24, 2009.",Fri Jul 24 01:27:58 +0000 2009,False,stam prolife abortion life time come defund planned parenthood friday july,stam prolife abortion life the time has come to defund planned parenthood friday july
other,"About to open the doors at Ball State's Worthen Arena for my annual district job fair. All are welcome, from 10-4.",Tue Aug 11 13:50:13 +0000 2009,False,open doors ball state worthen arena annual district job fair welcome,about to open the doors at ball state s worthen arena for my annual district job fair all are welcome from
other,My response to the President's speech as reported in various media outlets is up on my blog - http://twurl.nl/hdik5h,Wed Feb 25 18:50:08 +0000 2009,False,response president speech reported various media outlets blog,my response to the president s speech as reported in various media outlets is up on my blog
other,Politico - GOP health bill focuses on lower costs http://amplify.com/u/t3g,Wed Nov 04 16:40:17 +0000 2009,False,politico gop health bill focuses lower costs,politico gop health bill focuses on lower costs
other,"@RedState - ""House GOP Accepts Obama's Offer to Debate Budget"" -  http://poprl.com/tkG (@gopconference ) (@GOPLeader )",Thu Mar 26 23:43:01 +0000 2009,False,@redstate house gop accepts obama offer debate budget @gopconference @gopleader,@redstate house gop accepts obama s offer to debate budget @gopconference @gopleader
other,"@NYTimes: ""Governors, Democrats and Republicans, voiced deep concern about the #healthbill emerging from Congress"" http://ow.ly/hEzx #health",Mon Jul 20 02:34:22 +0000 2009,False,@nytimes governors democrats republicans voiced deep concern healthbill emerging congress health,@nytimes governors democrats and republicans voiced deep concern about the healthbill emerging from congress health
other,RTT: Obama Meets With Members of Congress to Discuss Job Creation http://amplify.com/u/14p7,Wed Dec 09 22:02:39 +0000 2009,False,rtt obama meets members congress discuss job creation,rtt obama meets with members of congress to discuss job creation
other,I'll be speaking again on the House floor a little bit after noon. Watch for a lot of GOP speeches asking #wherearethejobs ? #stimulus #FAIL,Tue Jul 21 15:59:17 +0000 2009,False,speaking house floor little bit noon watch lot gop speeches asking wherearethejobs stimulus fail,i ll be speaking again on the house floor a little bit after noon watch for a lot of gop speeches asking wherearethejobs stimulus fail
other,My op-ed in the Fort Wayne News-Sentinel: Congress should do what everyone has to do during this recession http://snurl.com/dqjo9 #tcot,Fri Mar 13 15:50:24 +0000 2009,False,op ed fort wayne news sentinel congress everyone recession tcot,my op ed in the fort wayne news sentinel congress should do what everyone has to do during this recession tcot
