source,created_at,is_retweet,text,clean_text,clean_text_with_stopwords
other,Mon Dec 31 02:34:38 +0000 2012,False,Hillary Doubters Shamed on Twitter http://t.co/XzDx9Qf0. Now what about tweeters wishing for Bush 41's demise while he was in ICU?,hillary doubters shamed twitter tweeters wishing bush demise icu,hillary doubters shamed on twitter now what about tweeters wishing for bush s demise while he was in icu
other,Mon Dec 31 00:44:19 +0000 2012,False,Allowing toddlers to wear Philadelphia Eagles outfits when you live in NY Giants country may be child endangerment. worst.season.ever,allowing toddlers wear philadelphia eagles outfits live ny giants country may child endangerment worst season ever,allowing toddlers to wear philadelphia eagles outfits when you live in ny giants country may be child endangerment worst season ever
other,Mon Dec 31 00:38:35 +0000 2012,False,"Andy Reid out as Eagles Coach - was beginning to think he has compromising pictures of the owner. Good Luck, Andy! http://t.co/cUzfwwWH",andy reid eagles coach beginning think compromising pictures owner good luck andy,andy reid out as eagles coach was beginning to think he has compromising pictures of the owner good luck andy
other,Sat Dec 29 21:16:42 +0000 2012,False,"Beloved ""41"": Former POTUS George H. W. Bush conditioned improved. http://t.co/hNISaExQ #Prayersanswered",beloved former potus george h w bush conditioned improved prayersanswered,beloved former potus george h w bush conditioned improved prayersanswered
other,Sat Dec 29 21:08:19 +0000 2012,False,"winter parent (him) = snowsuits/hats/gloves/scarves/layers/ socks/sleds/skates/hockey gear 
summer parent (me) = swimsuit/sunblock/towel",winter parent snowsuits hats gloves scarves layers socks sleds skates hockey gear summer parent swimsuit sunblock towel,winter parent him snowsuits hats gloves scarves layers socks sleds skates hockey gear summer parent me swimsuit sunblock towel
other,Sat Dec 29 21:03:19 +0000 2012,False,"pays to be the self-designated ""summer parent""...husband, 4 kids &amp; 2 dogs look cold out there.",pays self designated summer parent husband kids dogs look cold,pays to be the self designated summer parent husband kids dogs look cold out there
other,Sat Dec 29 21:01:27 +0000 2012,False,"HI Sen: Abercrombie passes up Colleen Hanabusa http://t.co/L6hgbMVq If GOPer did this, it would be called ""anti-woman"" &amp; ""anti-Asian""",hi sen abercrombie passes colleen hanabusa goper would called anti woman anti asian,hi sen abercrombie passes up colleen hanabusa if goper did this it would be called anti woman anti asian
other,Sat Dec 29 03:03:37 +0000 2012,False,Why do feminists ignore THIS? So focused on who pays for their birth control; do little to protect their sisters abroad http://t.co/4gbIWHcu,feminists ignore focused pays birth control little protect sisters abroad,why do feminists ignore this so focused on who pays for their birth control do little to protect their sisters abroad
other,Thu Dec 06 15:25:38 +0000 2012,False,"""@barneykeller: Sen. Jim DeMint to Head Heritage Foundation - http://t.co/7Hw7ECCQ http://t.co/0hYjC4xl via @WSJ"" that's NEWS",@barneykeller sen jim demint head heritage foundation via @wsj news,@barneykeller sen jim demint to head heritage foundation via @wsj that s news
other,Thu Dec 06 15:23:43 +0000 2012,False,@GovChristie &amp; I had nice chat exiting acela. Get every penny from Congress today for our beloved NJ post-Sandy. They fund nonsensespend,@govchristie nice chat exiting acela get every penny congress today beloved nj post sandy fund nonsensespend,@govchristie i had nice chat exiting acela get every penny from congress today for our beloved nj post sandy they fund nonsensespend
other,Tue Dec 04 11:50:04 +0000 2012,False,To the man playing on his iPhone throughout eulogy at funeral yesterday: I hope they mention that in YOUR eulogy #tasteless,man playing iphone throughout eulogy funeral yesterday hope mention eulogy tasteless,to the man playing on his iphone throughout eulogy at funeral yesterday i hope they mention that in your eulogy tasteless
other,Tue Dec 04 11:47:56 +0000 2012,False,"@FreedomWorks to be major voice in 2013...others can obsess about 2016, but #fiscalcliff #Obamacare #freedom need a dose of 2010 magic.",@freedomworks major voice others obsess fiscalcliff obamacare freedom need dose magic,@freedomworks to be major voice in others can obsess about but fiscalcliff obamacare freedom need a dose of magic
other,Tue Dec 04 11:44:07 +0000 2012,False,"@Hannity must see:
http://t.co/EbCpuum2",@hannity must see,@hannity must see
other,Tue Dec 04 11:42:11 +0000 2012,False,"NYC's Stage Deli Closes http://t.co/Z9GaGwwp Must everything be panera, chipotle, subway, quiznos?",nyc stage deli closes must everything panera chipotle subway quiznos,nyc s stage deli closes must everything be panera chipotle subway quiznos
other,Tue Nov 27 22:52:32 +0000 2012,False,"Senator Dole is a true patriot &amp; leader. God bless him &amp; his wife.  Thank you, Democratic friends @PaulBegala @jheil for joining in prayer.",senator dole true patriot leader god bless wife thank democratic friends @paulbegala @jheil joining prayer,senator dole is a true patriot leader god bless him his wife thank you democratic friends @paulbegala @jheil for joining in prayer
other,Tue Nov 27 22:50:23 +0000 2012,False,How is THAT diversity? Justice Ginsburg wants all-female Supreme CT: http://t.co/X53OUFDn,diversity justice ginsburg wants female supreme ct,how is that diversity justice ginsburg wants all female supreme ct
other,Tue Nov 27 15:36:40 +0000 2012,False,"Every time I hear a politician say ""I don't need to an honor a pledge from 20 years ago"", so grateful I am not married to them!",every time hear politician say need honor pledge years ago grateful married,every time i hear a politician say i don t need to an honor a pledge from years ago so grateful i am not married to them
other,Tue Nov 27 15:32:38 +0000 2012,False,"Grover, one of WDC's most selfless guys, is not the issue! http://t.co/BdwpmgB1",grover one wdc selfless guys issue,grover one of wdc s most selfless guys is not the issue
other,Mon Nov 26 12:21:48 +0000 2012,False,"@cnnstartingpoint with @Soledad_OBrien in a few minutes, until 9am.",@cnnstartingpoint @soledad obrien minutes,@cnnstartingpoint with @soledad obrien in a few minutes until am
other,Thu Nov 08 12:56:57 +0000 2012,False,#Election2012 JessejacksonJr: newly reelected and in plea talks with feds https://t.co/nakAIDYR #thecongressyoudeserve,election jessejacksonjr newly reelected plea talks feds thecongressyoudeserve,election jessejacksonjr newly reelected and in plea talks with feds thecongressyoudeserve
other,Thu Nov 08 12:55:00 +0000 2012,False,"On @PiersTonight: Left tries to say ""women's health"" instead of ""abortion"" then where's heart disease, cancer, obesity? #tellthetruth",@pierstonight left tries say women health instead abortion heart disease cancer obesity tellthetruth,on @pierstonight left tries to say women s health instead of abortion then where s heart disease cancer obesity tellthetruth
other,Thu Nov 08 12:51:34 +0000 2012,False,"#Election2012: in Sep, we warned conservatives to not blame polls bc u don't like the result. Adjust to polls; don't attack them",election sep warned conservatives blame polls bc u like result adjust polls attack,election in sep we warned conservatives to not blame polls bc u don t like the result adjust to polls don t attack them
other,Thu Nov 08 12:49:50 +0000 2012,False,#Election2012 pro pollsters got it right.amateurs relying on polls to form thoughts and spin did not.,election pro pollsters got right amateurs relying polls form thoughts spin,election pro pollsters got it right amateurs relying on polls to form thoughts and spin did not
other,Wed Nov 07 11:52:52 +0000 2012,False,#elections Congrats to true leaders and our clients@Mikepence @MicheleBachmann @steveking. The Left swung hard and whiffed.,elections congrats true leaders clients@mikepence @michelebachmann @steveking left swung hard whiffed,elections congrats to true leaders and our clients@mikepence @michelebachmann @steveking the left swung hard and whiffed
