source,created_at,text,is_retweet,clean_text,clean_text_with_stopwords
other,Fri May 15 20:36:50 +0000 2009,Technical problem in ny fox kept my segment on cavuto from going. But I was just reminded that somethings happen for a reason.,False,technical problem ny fox kept segment cavuto going reminded somethings happen reason,technical problem in ny fox kept my segment on cavuto from going but i was just reminded that somethings happen for a reason
other,Thu Jun 11 22:34:47 +0000 2009,@emedesigns we have 14 months to get our message out. And we will!,False,@emedesigns months get message,@emedesigns we have months to get our message out and we will
other,Thu May 21 18:10:26 +0000 2009,"@thehotline politics should not be about popularity,should be about leadership. to lead you must take clear positions and make tough choices",False,@thehotline politics popularity leadership lead must take clear positions make tough choices,@thehotline politics should not be about popularity should be about leadership to lead you must take clear positions and make tough choices
other,Wed Oct 28 03:19:27 +0000 2009,Great day in NW Florida. If you are in Pensacola come by the Coffee Cup bright an early @ 7 am,False,great day nw florida pensacola come coffee cup bright early @,great day in nw florida if you are in pensacola come by the coffee cup bright an early @ am
other,Sat May 09 12:31:13 +0000 2009,Check out profile on me in the weekly standard  http://weeklystandard.com/Content/Public/Articles/000/000/016/481shezi.asp,False,check profile weekly standard,check out profile on me in the weekly standard
other,Tue Mar 31 23:59:07 +0000 2009,"Maybe its just me , but could www.hulu.com be the single most important website in the history of the world? Its lavenous!!!",False,maybe could www hulu com single important website history world lavenous,maybe its just me but could www hulu com be the single most important website in the history of the world its lavenous
other,Tue Apr 07 17:34:20 +0000 2009,"President Obama's visit to troops today a nice touch. BTW, founders were genius in creating civilian command(POTUS) over military!",False,president obama visit troops today nice touch btw founders genius creating civilian command potus military,president obama s visit to troops today a nice touch btw founders were genius in creating civilian command potus over military
other,Wed Jun 24 01:14:40 +0000 2009,"""Among the many misdeeds of British rule in India history will look upon the act of depriving a whole nation of arms as the blackest""Gandhi",False,among many misdeeds british rule india history look upon act depriving whole nation arms blackest gandhi,among the many misdeeds of british rule in india history will look upon the act of depriving a whole nation of arms as the blackest gandhi
other,Sun Oct 25 01:17:23 +0000 2009,"Let's go Gators ""who's gonna run this town tonight""?(we are yeah i said it we are).",False,let go gators gonna run town tonight yeah said,let s go gators who s gonna run this town tonight we are yeah i said it we are
other,Wed Jul 15 20:26:56 +0000 2009,"""going back to Tally"" is a spoof of a song, not a political plan! #sayfie #tcot #fltcot",False,going back tally spoof song political plan sayfie tcot fltcot,going back to tally is a spoof of a song not a political plan sayfie tcot fltcot
other,Wed May 20 17:33:43 +0000 2009,Can a iphone catch on fire if it is used for hours on end? I hope not.,False,iphone catch fire used hours end hope,can a iphone catch on fire if it is used for hours on end i hope not
other,Tue Aug 25 21:44:40 +0000 2009,In Pasco County tonight speaking to a great crowd. #sayfie #tcot http://twitpic.com/f9f00,False,pasco county tonight speaking great crowd sayfie tcot,in pasco county tonight speaking to a great crowd sayfie tcot
other,Wed Jun 03 02:59:01 +0000 2009,No company is too big to fail. It is just bad public policy to have the government running a private business. #sayfie,False,company big fail bad public policy government running private business sayfie,no company is too big to fail it is just bad public policy to have the government running a private business sayfie
other,Fri May 01 21:03:19 +0000 2009,If u want Gov to play greater role u are well represented by Dems.  If Rep party is not voice for we who disagree it has no reason to exist.,False,u want gov play greater role u well represented dems rep party voice disagree reason exist,if u want gov to play greater role u are well represented by dems if rep party is not voice for we who disagree it has no reason to exist
other,Wed Apr 08 11:57:12 +0000 2009,"GOOD MORNING! Average American only gets 28,800 days of life. I have already used 13,819. I need to make the most of the ones I have left!",False,good morning average american gets days life already used need make ones left,good morning average american only gets days of life i have already used i need to make the most of the ones i have left
other,Thu May 07 11:55:24 +0000 2009,Starting my third day of working hard to make sure the republican nominee for US Senate is a republican.,False,starting third day working hard make sure republican nominee us senate republican,starting my third day of working hard to make sure the republican nominee for us senate is a republican
other,Thu Aug 13 14:18:43 +0000 2009,Just did TV show in Brevard County.#sayfie #tcot http://twitpic.com/dq8af,False,tv show brevard county sayfie tcot,just did tv show in brevard county sayfie tcot
other,Mon May 18 11:38:41 +0000 2009,I need to thank my wife Jeanette for carrying the full load at home as I travel the state.,False,need thank wife jeanette carrying full load home travel state,i need to thank my wife jeanette for carrying the full load at home as i travel the state
other,Fri May 29 01:20:10 +0000 2009,Does anyone know how Miami Central High did on FCAT? This is an inspiring story of a bunch of unsung heroes! Please let me know if you know!,False,anyone know miami central high fcat inspiring story bunch unsung heroes please let know know,does anyone know how miami central high did on fcat this is an inspiring story of a bunch of unsung heroes please let me know if you know
other,Mon May 25 14:23:25 +0000 2009,Take a moment today to remember the freedom we enjoy is thanks to the men and women who died and are still dying defending and protecting us,False,take moment today remember freedom enjoy thanks men women died still dying defending protecting us,take a moment today to remember the freedom we enjoy is thanks to the men and women who died and are still dying defending and protecting us
other,Sat Jun 20 23:25:30 +0000 2009,@vtocce how do I get the green?,False,@vtocce get green,@vtocce how do i get the green
other,Sat Jun 20 23:22:27 +0000 2009,"""Freedom is never voluntarily given by the oppressor; it must be demanded by the oppressed"" MLK  #iranelections #tcot #sayfie",False,freedom never voluntarily given oppressor must demanded oppressed mlk iranelections tcot sayfie,freedom is never voluntarily given by the oppressor it must be demanded by the oppressed mlk iranelections tcot sayfie
other,Wed Jun 03 03:05:59 +0000 2009,@Libertas1776 call her tomorrow at 3057982467 Is it a call in?,False,@libertas call tomorrow call,@libertas call her tomorrow at is it a call in
other,Thu Mar 19 16:25:44 +0000 2009,I'm starting the discussion with you about Florida's future. You can watch my video and stand with me at www.MarcoRubio.com,False,starting discussion florida future watch video stand www marcorubio com,i m starting the discussion with you about florida s future you can watch my video and stand with me at www marcorubio com
other,Fri Jun 19 18:57:33 +0000 2009,"In case you missed it, my interview on MSNBC http://bit.ly/NXzo8
 #sayfie #tcot",False,case missed interview msnbc sayfie tcot,in case you missed it my interview on msnbc sayfie tcot
other,Sun Oct 25 02:19:11 +0000 2009,RT @shauncorleone: @marcorubio ur about to lose a vote w/ all the gator talk. Some are playing hardball tonight!,False,rt @shauncorleone @marcorubio ur lose vote w gator talk playing hardball tonight,rt @shauncorleone @marcorubio ur about to lose a vote w all the gator talk some are playing hardball tonight
other,Sat Jun 20 19:30:03 +0000 2009,"POTUS, call for emerg meet of UN Sec Council to prevent massacre in Iran, if they fail to act will expose UN as useless #iranelection #tcot",False,potus call emerg meet un sec council prevent massacre iran fail act expose un useless iranelection tcot,potus call for emerg meet of un sec council to prevent massacre in iran if they fail to act will expose un as useless iranelection tcot
