source,text,created_at,is_retweet,clean_text,clean_text_with_stopwords
other,ASU football coach Bruce Snyder passed away yesterday - he will be missed.,Wed Apr 15 20:38:35 +0000 2009,False,asu football coach bruce snyder passed away yesterday missed,asu football coach bruce snyder passed away yesterday he will be missed
other,Talked about a potential trade war today -- a trade war is the last thing our economy needs right now.,Wed Mar 18 20:32:17 +0000 2009,False,talked potential trade war today trade war last thing economy needs right,talked about a potential trade war today a trade war is the last thing our economy needs right now
other,Continue debate on my amendment to stop Medicare cuts – I encourage every senior to contact their Senators & AARP.,Tue Dec 01 16:03:22 +0000 2009,False,continue debate amendment stop medicare cuts encourage every senior contact senators aarp,continue debate on my amendment to stop medicare cuts i encourage every senior to contact their senators aarp
other,"#3.  $380,000 to revitalize downtown Aliceville, AL",Tue Mar 03 19:32:39 +0000 2009,False,revitalize downtown aliceville al,to revitalize downtown aliceville al
other,"D-backs almost blew another one, but beat the Padres 6-5. Series decider is tonight",Wed May 27 19:04:05 +0000 2009,False,backs almost blew another one beat padres series decider tonight,d backs almost blew another one but beat the padres series decider is tonight
other,Chrysler finally filing for bankruptcy! Wish they would have done it months ago as I called for - could have saved taxpayers $26.7 billion!,Fri May 01 16:33:13 +0000 2009,False,chrysler finally filing bankruptcy wish would done months ago called could saved taxpayers billion,chrysler finally filing for bankruptcy wish they would have done it months ago as i called for could have saved taxpayers billion
other,"Headed to the floor to continue the fight for 330,000 AZ seniors & over 11 million Americans who benefit from preserve Medicare Advantage.",Fri Dec 04 15:46:24 +0000 2009,False,headed floor continue fight az seniors million americans benefit preserve medicare advantage,headed to the floor to continue the fight for az seniors over million americans who benefit from preserve medicare advantage
other,@GStephanopoulos We both know there are no real bipartisan negotiations going on – peeling off an R or 2 is not real negotiation,Wed Jul 08 21:48:20 +0000 2009,False,@gstephanopoulos know real bipartisan negotiations going peeling r real negotiation,@gstephanopoulos we both know there are no real bipartisan negotiations going on peeling off an r or is not real negotiation
other,Congrats to the Coyotes Captian Shane Doan who will play his 1000th game tonight – the Coyotes are playing great! Good luck!!!,Thu Dec 17 22:07:23 +0000 2009,False,congrats coyotes captian shane doan play th game tonight coyotes playing great good luck,congrats to the coyotes captian shane doan who will play his th game tonight the coyotes are playing great good luck
other,"On my way to Superior,  AZ to tour the mine and meet with elected officials and tribal members.",Mon Jun 29 17:38:28 +0000 2009,False,way superior az tour mine meet elected officials tribal members,on my way to superior az to tour the mine and meet with elected officials and tribal members
other,"#9.  $380,000 for a recreation and fairground area in Kotzebue, AK",Wed Mar 04 16:37:56 +0000 2009,False,recreation fairground area kotzebue ak,for a recreation and fairground area in kotzebue ak
other,"WSJ: American taxpayers will own 70% of GM, which is finally headed for bankruptcy. And GM will get $50 billion more.",Wed May 27 15:14:34 +0000 2009,False,wsj american taxpayers gm finally headed bankruptcy gm get billion,wsj american taxpayers will own of gm which is finally headed for bankruptcy and gm will get billion more
other,"Late evening with Col. Qadhafi at his ""ranch"" in Libya - interesting meeting with an interesting man.",Sat Aug 15 18:42:42 +0000 2009,False,late evening col qadhafi ranch libya interesting meeting interesting man,late evening with col qadhafi at his ranch in libya interesting meeting with an interesting man
other,http://bit.ly/LEKRU,Thu Jul 09 15:49:26 +0000 2009,False, , 
other,"Vote for Mark Reynolds for All-Star! He is a great athlete and an outstanding role model. Go D-backs, 3 in a row!",Tue Jul 07 22:50:20 +0000 2009,False,vote mark reynolds star great athlete outstanding role model go backs row,vote for mark reynolds for all star he is a great athlete and an outstanding role model go d backs in a row
other,#4. $2.1 million for the Center for Grape Genetics in New York - quick peel me a grape.,Fri Feb 27 18:55:26 +0000 2009,False,million center grape genetics new york quick peel grape,million for the center for grape genetics in new york quick peel me a grape
