text,created_at,is_retweet,source,clean_text,clean_text_with_stopwords
Op-ed with Rep Nunes in Washington Times: http://bit.ly/3SX1Z0,Mon Jun 08 13:24:11 +0000 2009,False,other,op ed rep nunes washington times,op ed with rep nunes in washington times
On CNBC's Squawk Box this morning: http://tinyurl.com/cyl54b,Wed Mar 25 13:56:41 +0000 2009,False,other,cnbc squawk box morning,on cnbc s squawk box this morning
"USA Today: “[The Patients’ Choice Act] is a serious proposal that merits serious consideration"" - http://tinyurl.com/USAtodayonPCA",Mon Jun 01 15:08:27 +0000 2009,False,other,usa today patients choice act serious proposal merits serious consideration,usa today the patients choice act is a serious proposal that merits serious consideration
On NPR: http://tinyurl.com/caq46k,Sun Mar 29 00:36:55 +0000 2009,False,other,npr,on npr
Cost of stimulus per family: http://tinyurl.com/costperfamily,Fri Feb 06 23:00:01 +0000 2009,False,other,cost stimulus per family,cost of stimulus per family
Spoke at Hudson Institute's 2009 Bradley Symposium: http://tinyurl.com/freedomcharacterconservatism,Thu Jun 04 21:29:11 +0000 2009,False,other,spoke hudson institute bradley symposium,spoke at hudson institute s bradley symposium
CBO confirms HC legislation increases the deficit: http://www.house.gov/budget_republicans/press/2007/pr20091119healthscore.pdf,Thu Nov 19 18:57:53 +0000 2009,False,other,cbo confirms hc legislation increases deficit,cbo confirms hc legislation increases the deficit
Report from Janesville Gazette: http://bit.ly/H50SY,Fri Aug 28 00:23:15 +0000 2009,False,other,report janesville gazette,report from janesville gazette
Read with interest Samuelson's latest: http://bit.ly/hIxtB,Tue Jun 23 03:15:09 +0000 2009,False,other,read interest samuelson latest,read with interest samuelson s latest
The facts are getting in the way of advancing HR 3200: http://www.house.gov/ryan/audio/111th/73009MCS.htm,Thu Jul 30 22:31:26 +0000 2009,False,other,facts getting way advancing hr,the facts are getting in the way of advancing hr
You can watch today's Janesville listening session live online at 3:30 pm CT at http://www.wkowtv.com/,Wed Aug 26 13:23:11 +0000 2009,False,other,watch today janesville listening session live online pm ct,you can watch today s janesville listening session live online at pm ct at
Trustees of SS and Medicare again sound the alarm; Washington again hits snooze. http://bit.ly/mWEMa,Tue May 12 21:20:03 +0000 2009,False,other,trustees ss medicare sound alarm washington hits snooze,trustees of ss and medicare again sound the alarm washington again hits snooze
Will debate health care with my friend Rep. Gwen Moore in Milwaukee today: http://www.milwaukeepressclub.org/events/details/94,Fri Aug 28 13:23:02 +0000 2009,False,other,debate health care friend rep gwen moore milwaukee today,will debate health care with my friend rep gwen moore in milwaukee today
A reminder on the need to get a grip on our debt crisis: http://bit.ly/1odxHA,Wed Oct 21 16:23:07 +0000 2009,False,other,reminder need get grip debt crisis,a reminder on the need to get a grip on our debt crisis
Statement on deeply disturbing Senate vote: http://www.facebook.com/note.php?note_id=235525622447,Mon Dec 21 18:40:51 +0000 2009,False,other,statement deeply disturbing senate vote,statement on deeply disturbing senate vote
"Spoke with Stan Milam, WCLO in Jvl, to offer procedural update on HC overhaul and more: http://www.house.gov/ryan/audio/111th/93009SMS.htm",Wed Sep 30 17:48:58 +0000 2009,False,other,spoke stan milam wclo jvl offer procedural update hc overhaul,spoke with stan milam wclo in jvl to offer procedural update on hc overhaul and more
