date,clean_text,Unnamed: 2,compound_polarity
2012-04-12 00:00:00,@flgovscott handled zimmerman matter well glad see trial justice let wait fair trial,,0.872
2012-04-12 00:00:00,beyond eliminating wasteful spending need get tough cracking hundreds billions cont,,-0.128
2012-04-12 00:00:00,excited see @anndromney joined twitter melania looking forward hosting next week cont,,0.34
2012-04-12 00:00:00,get tough get smart get president willing stand america stick cont,,0.296
2012-04-12 00:00:00,look make chopsticks america sell chinese compete hundreds fronts well timetogettough,,0.2732
2012-04-12 00:00:00,thursday much @barackobama wasted today,,-0.4939
2012-04-13 00:00:00,@barackobama policies advantageous constantly invoking ronald reagan stump,,0.3612
2012-04-13 00:00:00,@barackobama vice chief joint staff defending china cheat wrong course action,,-0.7269
2012-04-13 00:00:00,@barackobama wants raise taxes pays k salary say,,0.0
2012-04-13 00:00:00,@foxandfriends monday,,0.0
2012-04-13 00:00:00,attention detail critical choose scents exude sophistication confidence find pm @macys herald square,,0.25
2012-04-13 00:00:00,capitalism requires capital government robs capital investors high taxes takes away cont,,-0.4588
2012-04-13 00:00:00,celebrity apprentice delivers goods puppets sunday pm nbc,,0.0
2012-04-13 00:00:00,many countries cutting back big time ugly industrial wind turbines energy inefficient cont,,-0.4019
2012-04-13 00:00:00,many many people thanking said @autism vaccinations something must done immediately,,0.0
2012-04-13 00:00:00,one simplest joys life golf great game play watch,,0.8658
2012-04-13 00:00:00,u jobless claims month high @barackobama gas policy obamacare directly killing jobs,,-0.6597
2012-04-14 00:00:00,axl rose take rockhall honors happy stop induction nonsense fans @axlrose,,0.4767
2012-04-14 00:00:00,fda must immediately stop allowing massive dose vaccinations babies mind boggling allow practice continue,,-0.0772
2012-04-14 00:00:00,left best golf course state california @trumpgolfla la area check even cont,,0.6369
2012-04-16 00:00:00,@foxandfriends interview discussing @barackobama reckless spending buffet tax gimmick celebapprentice,,-0.4019
2012-04-16 00:00:00,@macys herald square april sign new fragrance success trump first customers receive copy new book,,0.5719
2012-04-16 00:00:00,celebrityapprentice paul teutul sr joined press event trump tower last week,,0.0
2012-04-16 00:00:00,find success smells like @macys herald square april pm sign new fragrance first cont,,0.7351
2012-04-16 00:00:00,hear @kiss toronto rozandmocha,,0.0
2012-04-16 00:00:00,mike bloomberg great job mayor new york city ray kelly great police commissioner @mikebloomberg,,0.8481
2012-04-16 00:00:00,on@squawkcnbc tomorrow trumptuesday,,0.0
2012-04-17 00:00:00,@barackobama watches china trying yuan overtake dollar international cont,,0.0
2012-04-17 00:00:00,@mittromney would great job saturday night live @nbcsnl,,0.6249
2012-04-17 00:00:00,ally canada frustrated @barackobama radical anti gas policies bho forcing canada send gas china,,-0.6908
2012-04-17 00:00:00,captured smell success meet new success @macys herald square april pm first cont,,0.8126
2012-04-17 00:00:00,enjoyed watching @ericbolling @sarahpalinusa @foxnews special painatthepump weekend cont,,0.7184
2012-04-17 00:00:00,paul teutul sr fantastic guy although fired celebapprentice remain great friends love bike made,,0.9081
2012-04-18 00:00:00,@barackobama design middle class hit record taxes obamacare inflation repeal,,0.0
2012-04-18 00:00:00,@barackobama major banks control economy another catastrophe brewing,,-0.6597
2012-04-18 00:00:00,gloria allred always talking needs publicity far better pr agent lawyer,,0.4404
2012-04-18 00:00:00,obama secret service catastrophe openly revealed great lack respect president cont,,0.128
2012-04-18 00:00:00,vanity fair circulation percent third rate stalker start looking new job,,0.1027
2012-04-18 00:00:00,yesterday @barackobama favorite day year collects taxes redistribute,,0.4588
2012-04-19 00:00:00,@flgovscott signed b budget cut indiv projects impressive rick masterful job,,0.296
2012-04-19 00:00:00,@fox news interview discussing passing longtime friend dick clark true tv legend missed,,0.128
2012-04-19 00:00:00,@mittromney right election jobs interesting @barackobama cont,,0.4019
2012-04-19 00:00:00,@mittromney shown last week campaign aggressively @barackobama confident defeat @barackobama,,-0.2732
2012-04-19 00:00:00,celebrityapprentice ranked among abc cbs nbc key demos pm pm hour margin rating,,0.0
2012-04-19 00:00:00,dick clark friend mine lived one buildings east st street everybody loved missed,,0.3818
2012-04-19 00:00:00,fooled @barackobama promised immigration reform st yr st term promising cont,,0.3818
2012-04-19 00:00:00,knew disgusting unwanted porn star @repweiner sleazebag first time met thank goodness revealed speak,,0.0516
2012-04-19 00:00:00,make apologies country pride desire see us become strong rich cont,,0.9001
2012-04-19 00:00:00,proud announce mar lago awarded top historic building state illustrious cont,,0.765
2012-04-19 00:00:00,reckless @barackobama increased debt potus first combined,,-0.4767
2012-04-19 00:00:00,ted nugent obviously using figure speech unfortunate shows anger people towards @barackobama,,-0.7717
