date,clean_text,text,Unnamed: 3,compound_polarity
2016-05-21 00:00:00,@cnn negative getting even worse get closer two anti trump losers zero rebuttal team turning,@cnn negative getting even worse get closer two anti trump losers zero rebuttal team turning,,-0.91
2016-05-21 00:00:00,@rbacliff hillary wants rip guns america hands guns protection get trumptrain join @nra stop,@rbacliff hillary wants rip guns america hands guns protection get trumptrain join @nra stop,,0.0
2016-05-21 00:00:00,crooked hillary clinton wants essentially abolish nd amendment gun owner ever vote clinton,crooked hillary clinton wants essentially abolish nd amendment gun owner ever vote clinton,,-0.34
2016-05-21 00:00:00,crooked hillary clintons foreign interventions unleashed isis syria iraq libya reckless dangerous,crooked hillary clintons foreign interventions unleashed isis syria iraq libya reckless dangerous,,-0.7003
2016-05-21 00:00:00,crooked hillary spending tremendous amounts wall street money false ads dishonest person,crooked hillary spending tremendous amounts wall street money false ads dishonest person,,-0.5719
2016-05-21 00:00:00,crooked hillary wants get rid guns yet surrounded bodyguards fully armed guns protect hillary,crooked hillary wants get rid guns yet surrounded bodyguards fully armed guns protect hillary,,0.4336
2016-05-21 00:00:00,make america great,make america great,,0.6249
2016-05-21 00:00:00,thank @thetodaysgolfer wonderful statement new par th hole @trump turnberry could dramatic britain,thank @thetodaysgolfer wonderful statement new par th hole @trump turnberry could dramatic britain,,0.7351
2016-05-21 00:00:00,thank men women served country true heroes armedforcesday,thank men women served country true heroes armedforcesday,,0.8225
2016-05-21 00:00:00,wonderful president playing golf day tsa falling apart like government airports total disaster,wonderful president playing golf day tsa falling apart like government airports total disaster,,0.3182
2016-05-22 00:00:00,@dubilujane trust @realdonaldtrump anyone ever protect america right thing u without doubt,@dubilujane trust @realdonaldtrump anyone ever protect america right thing u without doubt,,0.7912
2016-05-22 00:00:00,american people sick tired able lead normal lives constantly lookout terror terrorists,american people sick tired able lead normal lives constantly lookout terror terrorists,,-0.9287
2016-05-22 00:00:00,bernie sanders continuing quest believes crooked hillary clinton forced race e mail scandal,bernie sanders continuing quest believes crooked hillary clinton forced race e mail scandal,,-0.7096
2016-05-22 00:00:00,crooked hillary said want guns brought school classroom wrong,crooked hillary said want guns brought school classroom wrong,,-0.4215
2016-05-22 00:00:00,crooked hillary say cares women silent radical islam horribly oppresses women,crooked hillary say cares women silent radical islam horribly oppresses women,,-0.1027
2016-05-22 00:00:00,hillary clinton qualified president judgement proven bad would four years stupidity,hillary clinton qualified president judgement proven bad would four years stupidity,,-0.7506
2016-05-22 00:00:00,join wednesday may th anaheim convention center trump maga tickets,join wednesday may th anaheim convention center trump maga tickets,,0.296
2016-05-22 00:00:00,networks continue put dopey @billkristol panels called every single shot wrong yrs,networks continue put dopey @billkristol panels called every single shot wrong yrs,,-0.4767
2016-05-22 00:00:00,thank america trump,thank america trump,,0.3612
2016-05-23 00:00:00,hillary really protecting women,hillary really protecting women,,0.0
2016-05-23 00:00:00,interviewed @oreillyfactor p enjoy,interviewed @oreillyfactor p enjoy,,0.4939
2016-05-23 00:00:00,trade military everything else america first quickly lead ultimate goal make america great,trade military everything else america first quickly lead ultimate goal make america great,,0.6249
2016-05-24 00:00:00,amazingly money raised vets got nothing bad publicity dishonest disgusting media,amazingly money raised vets got nothing bad publicity dishonest disgusting media,,0.3502
