date,clean_text,Unnamed: 2,compound_polarity
2015-06-15 00:00:00,early childhood education important want daughter ellen katie rochester nh,,0.6486
2015-06-15 00:00:00,everything need country really starts treat children hillary nh watch live,,0.7334
2015-06-15 00:00:00,like tweets hillary gonna love texts text get texts hillary,,0.7717
2015-06-15 00:00:00,many ever seen butterfly questions raised hungry caterpillar rochester nh,,0.4939
2015-06-15 00:00:00,thanks dreamers courage resolve daca allowed thousands young people contribute society better h,,0.891
2015-06-15 00:00:00,today nh hillary proposed universal pre k proposed x investment early head start joined story time,,0.4939
2015-06-15 00:00:00,weekend hillary,,0.0
2015-06-16 00:00:00,accessories everything via @tanyataylornyc instagram,,0.0
2015-06-16 00:00:00,hillary new hampshire,,0.0
2015-06-16 00:00:00,hillary told story shared vision future add notes using @genius,,0.5267
2015-06-16 00:00:00,miss school make sure note,,0.1779
2015-06-16 00:00:00,new york ny sioux city des moines burlington iowa,,0.0
2015-06-16 00:00:00,want wage win four fights read policies behind hillary vision,,0.5267
2015-06-17 00:00:00,first job big impact life read hillary plan create jobs invest workers,,0.2732
2015-06-17 00:00:00,hillary called tax credit encourage businesses invest workers skills,,0.7096
2015-06-17 00:00:00,hillary fighting make economy work americans top,,-0.1779
2015-06-17 00:00:00,step plug headphones step press play,,0.34
2015-06-18 00:00:00, ,,0.0
2015-06-18 00:00:00,heartbreaking news charleston thoughts prayers h,,-0.4588
2015-06-18 00:00:00,wishing blessed ramadan embarked month fasting,,0.7003
2015-06-19 00:00:00,@pontifex right climate change moral crisis disproportionately harms neediest among us need leadership denial h,,-0.8074
2015-06-19 00:00:00,change come sometimes even form bill thenew,,0.0
2015-06-19 00:00:00,important lesson dad life taught,,0.2023
2015-06-19 00:00:00,last weekend hillary laid plans america say @genius,,0.0
2015-06-19 00:00:00,vet wait line weeks months get care earned service hillary nv,,0.4939
2015-06-19 00:00:00,welcome news iowa supreme court ruled protect women ability access safe legal abortion throughout state h,,0.9313
2015-06-19 00:00:00,years ago today freedom triumphed injustice juneteenth recognize far come far go h,,0.5719
2015-06-20 00:00:00, ,,0.0
2015-06-20 00:00:00,better pantsuit tee pantsuit tee signed hillary chance win,,0.8271
2015-06-20 00:00:00,race remains deep fault line america,,-0.4019
2015-06-20 00:00:00,read hillary remarks need confront systemic racism america move forward together,,-0.7003
2015-06-20 00:00:00,watch live hillary charleston massacre confronting unacceptable realities racism america,,-0.8271
2015-06-21 00:00:00,happy father day,,0.5719
2015-06-21 00:00:00,happy father day @billclinton feel like yesterday h,,0.7351
2015-06-21 00:00:00,hillary supporters supporters best fatherly advice passed along,,0.875
2015-06-21 00:00:00,little encouragement dad go long way natalie florida,,0.3626
2015-06-21 00:00:00,world ceilings sponsored part dads everywhere,,0.0
2015-06-22 00:00:00,@nikkihaley right call removal symbol hate sc said years taking confederate flag long overdue h,,-0.5719
2015-06-22 00:00:00,despite best efforts highest hopes america long struggle race far finished hillary,,-0.4344
2015-06-22 00:00:00,great cap bright future congratulations,,0.8979
2015-06-22 00:00:00,make nyc hillary official campaign launch video next best thing,,0.6369
2015-06-22 00:00:00,new friends make best dinner parties enter chance meal hillary,,0.9001
2015-06-23 00:00:00, ,,0.0
2015-06-23 00:00:00,hillary florissant missouri today,,0.0
2015-06-23 00:00:00,live hillary community leaders florissant mo conversation race strengthening families,,0.4939
2015-06-23 00:00:00,seams like fun,,0.7003
2015-06-24 00:00:00,agree hillary every american deserves quality affordable health care,,0.6908
2015-06-24 00:00:00,hanging hillary bucket list enter dine woman,,0.0
2015-06-24 00:00:00,happy campers,,0.5719
2015-06-24 00:00:00,hide hard truths race justice hillary,,0.6249
2015-06-24 00:00:00,love equal time marriage equality,,0.6369
2015-06-24 00:00:00,suggested gay rights human rights separate distinct fact one,,0.0
2015-06-25 00:00:00,chance beat odds give american people health security need hillary,,0.5267
2015-06-25 00:00:00,dinner hillary yes hillary enter spot table,,0.4019
2015-06-25 00:00:00,everyone deserves live free discrimination glad supreme court right thing keephousingfair h,,0.872
2015-06-25 00:00:00,get floor keep fighting hillary fight health care back,,-0.2263
2015-06-25 00:00:00,great day add name agree affordable health care basic human right,,0.8689
2015-06-25 00:00:00,stand hillary fight affordable health care,,0.1531
2015-06-25 00:00:00,waiting hoping read hillary letter support equality add name,,0.6705
2015-06-25 00:00:00,yes scotus affirms know true hearts law health insurance affordable available h,,0.6705
2015-06-26 00:00:00,chelseasmom,,0.0
2015-06-26 00:00:00,day remember,,0.0
2015-06-26 00:00:00,h history making get free celebratory bumper sticker,,0.5106
2015-06-26 00:00:00,hearts full dave dan jaylah loving families states,,0.5994
2015-06-26 00:00:00,latest gop attack epa dangerous shortsighted protecting environment good communities families economy h,,-0.5106
2015-06-26 00:00:00,midnight enter win dinner hillary counted twice wait,,0.5859
2015-06-26 00:00:00,new favorite map live state marriage equality law,,0.4588
2015-06-26 00:00:00,planning wedding got perfect party favors,,0.8126
2015-06-26 00:00:00,proud,,0.4767
2015-06-26 00:00:00,proud celebrate historic victory marriage equality courage determination lgbt americans made possible h,,0.9136
