date,clean_text,Unnamed: 2,compound_polarity
2015-06-15 00:00:00,@durandsentinus @jebbush may get headlines today @realdonaldtrump dominate news week regardless announcement tomorrow,,-0.128
2015-06-15 00:00:00,@futuristichub @realdonaldtrump vote twice could actually second term president go get em mr trump,,0.0
2015-06-15 00:00:00,@fyrftr @realdonaldtrump trump time true leader lead great country,,0.7845
2015-06-15 00:00:00,@looneytunes politicians going get us mess talk simpletruth makeamericagreatagain,,-0.3612
2015-06-15 00:00:00,@medicimario @realdonaldtrump pls run u would great,,0.6597
2015-06-15 00:00:00,@subdoc trump said @foxandfriends today ppl asking would anyone give lifestyle potus answer trumpcares,,0.0
2015-06-15 00:00:00,@zstr liberal end reagan hollywood donald may serious chance @realdonaldtrump,,0.1779
2015-06-15 00:00:00,great,,0.6249
2015-06-15 00:00:00,great,,0.6249
2015-06-15 00:00:00,live periscope,,0.0
2015-06-15 00:00:00,really need another bush white house enough,,0.0
2015-06-15 00:00:00,thanks,,0.4404
2015-06-15 00:00:00,thanks,,0.4404
2015-06-15 00:00:00,thanks,,0.4404
2015-06-15 00:00:00,tomorrow makeamericagreatagain,,0.0
2015-06-15 00:00:00,tomorrow really big day america make america great,,0.6249
2015-06-16 00:00:00,@appsame going listen @realdonaldtrump really running keep word really great chance win,,0.8942
2015-06-16 00:00:00,@brentcfritz today day america becomes great @realdonaldtrump huge news shock world trump president,,0.5859
2015-06-16 00:00:00,@davidsbaldwin @realdonaldtrump today day trump good luck,,0.7096
2015-06-16 00:00:00,@desheay @realdonaldtrump twitter banner awesome cant wait tomorrow trump,,0.6249
2015-06-16 00:00:00,@donjubber @realdonaldtrump shock world trump president,,-0.3818
2015-06-16 00:00:00,@insuraider @realdonaldtrump going make hillary head spin tomorrow morning presidential debate yes please trump,,0.6124
2015-06-16 00:00:00,@jaketapper donaldtrump iowa says gucci store worth money romney fact check true,,0.5719
2015-06-16 00:00:00,@jarod pitmon full supporter trump @realdonaldtrump guy help country,,0.5859
2015-06-16 00:00:00,@knight @realdonaldtrump @realjoemurray america great trump helm confidence counts,,0.8126
2015-06-16 00:00:00,@nickyflash trump president trump @realdonaldtrump,,0.0
2015-06-16 00:00:00,@premuse @realdonaldtrump let take country back trumpleeds,,0.0
2015-06-16 00:00:00,@realjoemurray hopefully tomorrow day start make america great looking forward @realdonaldtrump trump,,0.7783
2015-06-16 00:00:00,@rg radical counting hours @realdonaldtrump announcement ready america become great supporting mr trump,,0.8591
2015-06-16 00:00:00,@rhumeey really would want see america would look like @realdonaldtrump helm affairs,,0.4728
2015-06-16 00:00:00,almost time making major announcement @trumptowerny follow social media makeamericagreatagain,,0.0
2015-06-16 00:00:00,big time u today make america great politicians talk action never bring us back,,0.6249
2015-06-16 00:00:00,live periscope major announcement makeamericagreatagain,,0.0
2015-06-16 00:00:00,make sure follow @periscopeco makeamericagreatagain,,0.3182
2015-06-16 00:00:00,make sure follow @periscopeco streaming announcement,,0.3182
2015-06-16 00:00:00,makeamericagreatagain,,0.0
2015-06-16 00:00:00,makeamericagreatagain,,0.0
2015-06-16 00:00:00,officially running president united states makeamericagreatagain,,0.4215
2015-06-16 00:00:00,one hour making major announcement trump tower watch live periscope,,0.0
2015-06-16 00:00:00,thanks,,0.4404
2015-06-16 00:00:00,thanks eric,,0.4404
2015-06-16 00:00:00,thanks geraldo champion,,0.7783
2015-06-16 00:00:00,today officially declared candidacy president united states watch video full speech,,0.4215
2015-06-17 00:00:00,@ericbolling addition doubt would amazing @apprenticenbc keep great work,,0.7506
2015-06-17 00:00:00,@ericbolling watched flight iowa forgotten,,-0.2263
2015-06-17 00:00:00,@gabigayle @foxnews @realdonaldtrump doesnt need anyone money speak truth go donald,,0.3182
2015-06-17 00:00:00,dear @kimguilfoyle thank much nice words today @thefive forgotten iowa packed house,,0.7184
2015-06-17 00:00:00,enjoyed watching @monicacrowley analysis @billoreilly interview great points thank monica,,0.872
2015-06-17 00:00:00,fool would buy @nydailynews loses fortune zero gravitas let die,,-0.8442
2015-06-17 00:00:00,heading new hampshire makeamericagreatagain,,0.0
2015-06-17 00:00:00,need someone experience rebuild america makeamericagreatagain,,0.0
2015-06-17 00:00:00,speaking great patriots @mcc ct first visit granite state since declaring candidacy fitn,,0.6249
2015-06-17 00:00:00,thank sarah let pizza new york soon great family,,0.765
2015-06-18 00:00:00,@justinborges trump president nice ring time someone afraid say necessary took reigns,,0.4215
2015-06-18 00:00:00,thank,,0.3612
2015-06-18 00:00:00,tragedy south carolina incomprehensible deepest condolences,,-0.6597
2015-06-18 00:00:00,trump int l hotel tower chicago received accolades design service signature restaurant sixteen,,0.0
2015-06-18 00:00:00,trump nat l golf club philadelphia beautiful acres designed tom fazio views philly skyline,,0.5994
2015-06-18 00:00:00,watch appearance @morning joe great interview,,0.6249
2015-06-19 00:00:00,@chaddryann keep attracting attention people talking trump,,0.4767
2015-06-19 00:00:00,@cliffshep @realdonaldtrump got vote,,0.0
2015-06-19 00:00:00,@dcfoodsafety mr trump candidate waiting tell real get done vote,,0.0
2015-06-19 00:00:00,@elizwatkins @realdonaldtrump many days office presidenttrump letstalkbusiness,,0.0
2015-06-19 00:00:00,@hollyammon @andybran @joenbc donald trump telling anyone would listen chinese currency manipulation true,,0.1531
2015-06-19 00:00:00,@holyselena @realdonaldtrump bright man vote,,0.4404
2015-06-19 00:00:00,@hufseyg waited vote @realdonaldtrump since little wait,,0.0
2015-06-19 00:00:00,@llambert always said country needs run like major corporation takes brilliant businessman power donaldtrump,,0.743
2015-06-19 00:00:00,@megliq ive saying donald trump prez since nd grade biggest fan look met u @realdonaldtrump,,0.3182
2015-06-19 00:00:00,@mrinsaf @realdonaldtrump @andybran @joenbc @keichri believe donald trump always make best deal people,,0.6369
2015-06-19 00:00:00,@smw @realdonaldtrump donald trump country good businessman know grow economy,,0.4404
2015-06-19 00:00:00,@stevenkirk @realdonaldtrump @patrickbuchanan great article least thedonald finally saying us average working people know,,0.6249
2015-06-19 00:00:00,@thehickman let get trump trending makeamericagreatagain thedoniscoming trumpcard vets trump,,0.0
2015-06-19 00:00:00,@williamonlyrent government run politicians huge business needs businessman run successfully trump,,0.6705
2015-06-19 00:00:00,country major crisis incompetent leadership cannot continue go politicians nothing talk,,-0.802
2015-06-19 00:00:00,george big iraq fool trillion thousands lives lost got nothing dummy,,-0.6369
2015-06-19 00:00:00,hillary clinton reaches new low trumpvlog,,-0.2263
2015-06-19 00:00:00,hundreds deals transactions used bankruptcy laws times make deals better nothing personal business,,0.4404
2015-06-19 00:00:00,watched brian williams @todayshow sad brian get new life start @msnbc stop apologizing,,-0.6808
2015-06-20 00:00:00,@andrewwagner pretty clear @realdonaldtrump would absolutely destroy hillaryclinton debate really wanna see happen,,0.2516
2015-06-20 00:00:00,@bobbybnews person running president betray america money donald trump fox cutting reagan,,-0.6908
2015-06-20 00:00:00,@danaperino beg tweet endorsement book launched,,0.4215
2015-06-20 00:00:00,@njoh @realdonaldtrump trump speech c span right f,,0.0
2015-06-20 00:00:00,@tea alliance @realdonaldtrump @bobbybnews establishment fears trump afraid make america great,,0.3182
2015-06-20 00:00:00,druggies drug dealers rapists killers coming across southern border u get smart stop travesty,,-0.9153
2015-06-20 00:00:00,like mexico love spirit mexican people must protect borders people pouring u,,0.875
2015-06-20 00:00:00,mexico killing united states economically leaders negotiators far smarter nobody beats trump,,0.1027
2015-06-20 00:00:00,speech right c span,,0.0
2015-06-21 00:00:00,@bk donald trump resume backs run president @realdonaldtrump greta @thisweekabc thank true,,0.6249
2015-06-21 00:00:00,@breitbartvideo @anncoulter trump best shot general election via @ianhanchett,,0.6369
2015-06-21 00:00:00,@i dont know @realdonaldtrump best candidate president long time hope win thanks,,0.7377
2015-06-21 00:00:00,@karlrove spent million last cycle win one race said candidate file papers next week karl,,0.5859
2015-06-21 00:00:00,@martharaddatz unprofessional biased discussing week @gstephanopoulos allow conduct,,-0.5423
2015-06-21 00:00:00,@nishantagg donald trump hope crumbling american economy hope american friends choose trump,,0.836
2015-06-21 00:00:00,@riggs carl icahn donald trump completely correct bubble like never seen,,0.4144
2015-06-21 00:00:00,@senzulean america lucky @realdonaldtrump even consider leading nation thank,,0.6486
2015-06-21 00:00:00,@sugarhoney @realdonaldtrump really great business man gets job done right true,,0.8016
2015-06-21 00:00:00,@utwey @realdonaldtrump @karlrove wait debates dt crush could happen,,-0.1531
2015-06-21 00:00:00,great mike wallace covered much professional manner son chris wallace @foxnews mike total pro,,0.6249
2015-06-21 00:00:00,happy father day wonderful loving father,,0.9062
2015-06-21 00:00:00,thank @anncoulter nice words u becoming dumping ground world pols get make america great,,0.7964
2015-06-21 00:00:00,via @breitbartnews @aswoyer exclusive trump slams obamatrade stands american jobs,,0.128
2015-06-21 00:00:00,would rather negotiating u putin iran china etc donald trump hillary even little doubt,,-0.2975
2015-06-22 00:00:00,@alaskan gypsy @foxnews @seanhannity indicated would support ran let see puts money mouth,,0.4019
2015-06-22 00:00:00,@auburnfan @realdonaldtrump @karlrove karl rove destroyed republican party time rebuild true,,0.3182
2015-06-22 00:00:00,@bdckool believe trump intestinal fortitude set right wrongs current administration trump,,0.0
2015-06-22 00:00:00,@carsonbonner @realdonaldtrump businessman understands world business politics trump,,0.0
2015-06-22 00:00:00,@cota @realdonaldtrump @hyannis @foxnews amazing people fear change better,,0.5423
2015-06-22 00:00:00,@danaperino released copy beautiful thank card sent would like see @ericbolling @kimguilfoyle,,0.836
2015-06-22 00:00:00,@deneenborelli thank nice words greatly appreciated,,0.8357
2015-06-22 00:00:00,@fackinpeter @realdonaldtrump @karlrove theyre jealous success trump makeamericagreatagain thanks,,0.5574
2015-06-22 00:00:00,@hyannis @realdonaldtrump @foxnews believe worried may win,,0.3818
2015-06-22 00:00:00,@isaacnewyorker finally somebody real intelligence leadership runnig president mr @realdonaldtrump makeamericagreatagain,,0.4767
2015-06-22 00:00:00,@isaacnewyorker said trump ran president gonna happiest man earth wins americans trump,,0.836
2015-06-22 00:00:00,@jakeawk donald trump candidate incorruptible get rid incompetence ruining country,,-0.6486
2015-06-22 00:00:00,@jakekonczyk @realdonaldtrump @karlrove best candidate gotmyvote makeamericagreatagain,,0.6369
2015-06-22 00:00:00,@jessyandcandy trump got vote proven resume os success people would nuts vote trump,,0.34
2015-06-22 00:00:00,@joncford @realdonaldtrump @teambobbyewing @foxnews @karlrove done fox news,,0.0
2015-06-22 00:00:00,@jordanspieth great job true champion see soon,,0.8957
2015-06-22 00:00:00,@jpjac @realdonaldtrump @foxnews fox loved declared candidate good question,,0.7783
2015-06-22 00:00:00,@karlrove stated clearly wants repeal nd amendment thought @foxnews going fire jerk romney fiasco,,-0.6597
2015-06-22 00:00:00,@karlrove still thinks romney clue @foxnews,,0.0
2015-06-22 00:00:00,@kirkcameronfan @realdonaldtrump @foxnews afraid trump american,,0.0
2015-06-22 00:00:00,@lauralynn @realdonaldtrump @oreillyfactor loves obvious day announced bill great,,0.8316
2015-06-22 00:00:00,@luckydoginwesty @realdonaldtrump @fl girl voting mr trump,,0.0
2015-06-22 00:00:00,@malachinorris donald j trump definition american success story trump bring back american dream,,0.6908
2015-06-22 00:00:00,@mrbrentallen @realdonaldtrump @karlrove @foxnews watched @karlrove interview sounds like unpatriotic dolt trump,,0.3612
2015-06-22 00:00:00,@nojoed @realdonaldtrump @karlrove karl sit election cycle enough losers last us life time true,,-0.1531
2015-06-22 00:00:00,@pbstwo @realdonaldtrump @hyannis @foxnews donald owes nothing lobbyists could restore republic true,,0.2292
2015-06-22 00:00:00,@sallyvp @realdonaldtrump mr trump tell america fired bring respect balls back usa,,-0.128
2015-06-22 00:00:00,@shawncrazyshawn loved since wrestlemania kid grew see behind way,,0.5994
2015-06-22 00:00:00,@sovadjeast usa like wollman rink ferrypoint djt came saw built masterpiece usa turn,,0.765
