date,clean_text,Unnamed: 2,compound_polarity
2013-06-10 00:00:00,thanks inspiration @asmith @sllambe take tweetsfromhillary,,0.743
2013-06-13 00:00:00,incredible twitter welcome hometown chicago cgiamerica amet talk bhccf work,,0.4588
2013-06-14 00:00:00,@ smalltofail new effort w @nextgen usa help kids crucial early years act,,0.4019
2013-06-14 00:00:00,much fun chelsea taking selfies back stage mt @chelseaclinton,,0.5106
2013-06-25 00:00:00,bill cheslea sent love prayers great friend madiba family nation difficult time,,0.875
2013-06-25 00:00:00,disappointed today decision striking heart voting rights act,,-0.4767
2013-06-26 00:00:00,applaud hard work everyone worked tirelessly make today possible,,0.3818
2013-07-10 00:00:00,@wpsproject bryn mawr inspiring women public sector jobs goal,,0.4215
2013-07-12 00:00:00,malala today un nothing changed life except weakness fear hopelessness died extraordinary young woman malaladay,,-0.9287
2013-07-17 00:00:00,went central pk zoo meet w wildlife experts elephants solution stop killing stop trafficking stop demand,,-0.8481
2013-07-18 00:00:00,today reminded invictus poem mandela used recite prison truly unconquerable soul madiba happy th birthday,,0.5106
2013-07-19 00:00:00,seneca falls years ago today began movement remains unfinished business st century,,0.0
2013-07-23 00:00:00,congratulations across pond duke duchess wishing best luck bit advice takes royal village,,0.9186
2013-08-09 00:00:00,bill chelsea back great bh ccf trip africa time bill big news potus,,0.6249
2013-08-15 00:00:00,@rachaelrad tweet ye shall receive see fellow downton abbey fan birds feather would seem,,0.3182
2013-08-16 00:00:00,bill wrote wonderful letter bhccf work proud accomplished know best yet come,,0.9313
2013-08-19 00:00:00,believe turned today look day four,,0.0
2013-09-02 00:00:00,flying countries lot consider swimming feels like swim sharks actually congrats,,0.7096
2013-09-13 00:00:00,@jk rowling look familiar hogwarts beautiful st andrews thanks grad student claire grand tour,,0.8689
2013-09-18 00:00:00,great st meeting @ smalltofail leadership advisory council yesterday good reading issue,,0.7906
2013-09-23 00:00:00,something know read new bio secretary albright plays drums welcome twitter @madeleine see cgi,,0.6124
2013-09-26 00:00:00,african nations ngos million path end elephant poaching @chelseaclinton thrilled,,0.4404
2013-09-26 00:00:00,proud done much join beijing,,0.6486
2013-10-01 00:00:00,cdf advocacy children began marian wright edelman continues w @ smalltofail,,0.0
2013-10-04 00:00:00,mom made reading @chelseaclinton priority every night new studies show us importance words,,0.3612
2013-10-11 00:00:00,@williamjhague great seeing today pleased special relationship continues even leaving office,,0.8658
2013-10-11 00:00:00,new profile pic honor international dayofthegirl join us clinton foundation celebrating,,0.8442
2013-10-25 00:00:00,@wef report women shows progress countries still address nov philadelphia,,0.4215
2013-11-01 00:00:00,ceilings full participation project new bhccf initiative accelerate progress women girls,,0.4215
2013-11-09 00:00:00,talking empower next generation la @chelseaclinton @ smalltofail @servicenation,,0.0
2013-11-12 00:00:00,backstage @gabbygiffords glamour women year awards incredible woman,,0.7506
2013-11-12 00:00:00,text aid give @mgivefoundation help typhoon haiyan disaster relief effort hope,,0.5574
2013-11-14 00:00:00,new op ed senator doctor friend bill frist @ smalltofail leadership council worth read,,0.6249
2013-11-14 00:00:00,went premiere white gold @museummodernart last night film narrated elephant poaching coming soon,,0.0
2013-11-16 00:00:00,secstate kerry spoke sat q @laurawbush fellow afghanwomen council co chair,,0.0
2013-11-16 00:00:00,secstates reunited @giwps today watching program backstage going discuss afghanwomen,,0.0
2013-11-25 00:00:00,great op ed another @ smalltofail leadership council member teacher @cindymccain read,,0.6249
2013-12-06 00:00:00,nelson mandela champion justice human dignity unmatched grace remember madiba truly unconquerable soul,,0.9371
2013-12-11 00:00:00,landed ny ukrainian government must follow madiba example choose dialogue people force,,0.0
2013-12-11 00:00:00,way back u madiba funeral watching going ukraine alarm,,-0.5994
2013-12-12 00:00:00,wishing good friend th secstate happy th birthday,,0.8934
2013-12-17 00:00:00,happens kids families cut unemployment insurance food stamps smalltofail deserve equal chance succeed,,0.0516
2013-12-18 00:00:00,excited report patti miller formerly @sesamestreet joined @clintonfdn co lead early childhood initiative @ smalltofail,,0.34
2013-12-24 00:00:00,merry xmas happy new year x thinking millions face challenges everyday looking forward much,,0.8176
2013-12-31 00:00:00,years ago proud begin working bipartisan efforts save unemployment insurance let quickly new year,,0.5267
2014-01-02 00:00:00,pleased proud see mayor @billdeblasio sworn today mt @billclinton great day nyc,,0.8779
2014-01-17 00:00:00,women live brink poverty us million children depend @shriverreport @amprog,,-0.5106
2014-01-21 00:00:00,teenager saw mlk speak chicago shook hand urged us stay engaged cause justice vital ever today,,0.8779
2014-02-03 00:00:00,much fun watch fox someone else blitzed sacked superbowl,,0.5106
2014-02-05 00:00:00,join @ smalltofail @unicontigo help close word gap take pledge,,0.5994
2014-02-12 00:00:00,briefed old @whitehouse colleagues yesterday new wildlife trafficking report good progress made,,0.6908
2014-02-13 00:00:00,headed chappaqua snowy morning talk @melindagates data important women girls noceilings,,0.2023
2014-02-14 00:00:00,@billclinton needed good pair snow boots watch event noceilings,,0.4404
2014-02-26 00:00:00,team beijing declared women rights human rights great reunion today work,,0.6249
2014-02-27 00:00:00,encouraging news today china business leaders stopping demand ivory,,0.3182
2014-03-08 00:00:00,@un secgen ban ki moon @phumzileunwomen great see @un women yesterday watch,,0.128
2014-03-08 00:00:00,iwd celebrate work eleanor roosevelt courageous advocate human rights work continues inspire noceilings,,0.8957
2014-03-22 00:00:00,freedom speak connect fundamental right people turkey deserve right restored twitterisblockedinturkey,,0.765
2014-03-22 00:00:00,great back arizona @senjohnmccain @cindymccain cgiu looking forward weekend @asu,,0.6249
2014-03-23 00:00:00,today @cgiu mt @jimmykimmel @theellenshow clintons kimmel @billclinton @chelseaclinton selfie,,0.0
2014-03-25 00:00:00,@tulsaeducare @gkff @ smalltofail great day launching talkingisteachingtulsa made new friends,,0.802
2014-04-01 00:00:00,well explains happened ipad @billclinton following leader,,0.2732
2014-04-02 00:00:00,majority lower wage jobs held women raising minimum wage good women economy,,0.1779
2014-04-04 00:00:00,great meet strong brave young women pussyriot refuse let voices silenced russia,,0.8625
2014-04-09 00:00:00,years ago women made cents dollar men today still cents work equalpay noceilings,,0.0
2014-04-12 00:00:00,good luck friend former colleague deputy secretary bill burns treasure american diplomacy,,0.8834
2014-04-17 00:00:00,exciting title yet grandmother @billclinton thrilled chelsea marc expecting first child,,0.7269
2014-04-29 00:00:00,heart arkansas elsewhere path terrible tornados,,-0.4767
2014-05-04 00:00:00,access education basic right unconscionable reason target innocent girls must stand terrorism bringbackourgirls,,-0.4939
2014-05-11 00:00:00,@voguemagazine thank anna wishing mothers happy mother day looking forward celebrating new mother soon,,0.8957
2014-05-17 00:00:00,little rock today dale leslie chihuly opening spectacular new exhibit @clintoncenter,,0.0
2014-05-24 00:00:00,happy th birthday former colleagues foreign service honor spend years working fs,,0.7845
2014-05-24 00:00:00,meriam yahya ibrahim death sentence abhorrent sudan stop threatening religious freedom fundamental human rights,,-0.8442
2014-05-29 00:00:00,miss friend mayaangelou truly phenomenalwoman,,0.6705
2014-05-30 00:00:00,came across photo morning saw others sharing thought would mayaangelou,,0.4215
2014-06-02 00:00:00,@clintonfdn say together read charles blow nyt column morning yesallofus,,0.0
2014-06-22 00:00:00,@katyperry well hard choice already keep letting us hear roar,,0.1779
2014-06-23 00:00:00,national paid family leave benefits families economy get facts visit,,0.34
2014-06-26 00:00:00,@ smalltofail kids big advocate @whitehouse reminding parents caregivers talkingisteaching,,0.0
2014-06-27 00:00:00,heartbreaking news vital voice justice silenced,,0.3818
2014-06-30 00:00:00,hard working women pay price today two troubling scotus decisions wages health care dignity,,0.1531
2014-07-02 00:00:00,stopped @hudsonbooks jfk flight london taking hardchoices book tour across pond,,-0.2263
2014-07-04 00:00:00,@ smalltofail @essencemag team close word gap help parents talk read sing kids,,0.4019
2014-07-18 00:00:00,great see @billclinton taking noceilings road india talk women economy,,0.6249
2014-07-21 00:00:00,siliconvalley today visiting @google @facebook @twitter looking forward seeing everyone answering questions,,0.0
2014-07-21 00:00:00,way @twitter tweet questions askhillary watch conversation @katies,,0.0
2014-07-21 00:00:00,year tweetsfromhillary want hear pm pt @twitter q hardchoices askhillary,,0.0772
2014-07-23 00:00:00,way oakland excited announce new @ smalltofail campaign letstalkoakland,,0.34
2014-07-26 00:00:00,come oakland let great rallying cry @urbanstratoak talking reading singing matters,,0.2732
2014-08-06 00:00:00,ireadeverywhere w @nypl reminded moments reading chelsea little let closethewordgap,,0.0
2014-08-19 00:00:00,happy birthday wonderful husband today,,0.8126
2014-09-04 00:00:00,broken bread w fellow secstates never broken ground great visit @statedept yesterday,,-0.8589
2014-09-15 00:00:00,congratulations california winning paidsickdays help million workers weallgetsick,,0.875
2014-09-23 00:00:00,proud announce jobone commitments cgi create job pathways youth join us @clintonglobal,,0.7845
