date,clean_text,Unnamed: 2,compound_polarity
2009-05-04 00:00:00,sure tune watch donald trump late night david letterman presents top ten list tonight,,0.4767
2009-05-05 00:00:00,donald trump appearing view tomorrow morning discuss celebrity apprentice new book think like champion,,0.7506
2009-05-08 00:00:00,donald trump reads top ten financial tips late show david letterman funny,,0.5719
2009-05-08 00:00:00,new blog post celebrity apprentice finale lessons learned along way,,0.0
2009-05-12 00:00:00,miss usa tara conner fired always believer second chances says donald trump,,-0.5267
2009-05-13 00:00:00,listen interview donald trump discussing new book think like champion,,0.7506
2009-05-14 00:00:00,strive wholeness keep sense wonder intact donald j trump,,0.2023
2009-05-15 00:00:00,enter think like champion signed book keychain contest,,0.7506
2009-05-18 00:00:00,win lives champion view moment donald j trump,,0.8271
2009-05-20 00:00:00,always know could precipice something great donald j trump,,0.6249
2009-05-20 00:00:00,read great interview donald trump appeared new york times magazine,,0.6249
2009-05-22 00:00:00,forget enter think like champion signed book keychain contest,,0.6705
2009-05-22 00:00:00,keep fast short direct whatever donald j trump,,0.0
2009-05-23 00:00:00,know donald trump facebook become fan today,,0.3182
2009-05-26 00:00:00,higher self direct opposition comfort zone donald j trump,,0.3612
2009-05-27 00:00:00,read excerpt think like champion donald j trump,,0.7506
2009-05-28 00:00:00,know call quits keep moving forward donald j trump,,0.0
2009-06-03 00:00:00,check donald trump new igoogle showcase page,,0.0
2009-06-08 00:00:00,last week enter think like champion signed book keychain contest,,0.7506
2009-06-14 00:00:00,today donald trump birthday send b day wishes,,0.1531
2009-06-18 00:00:00,fb vanity urls sf chronicle david beckham one first along britney spears donald trump,,-0.2263
2009-06-21 00:00:00,wishing happy father day dad champion today everyday,,0.8591
2009-06-30 00:00:00,watch powerful frank interview donald trump economy greta van susteren record,,0.4215
2009-07-04 00:00:00,safe happy independence day one enjoy donald j trump,,0.8689
2009-07-13 00:00:00,aware things seem inexplicable big step towards innovation donald j trump,,0.3818
2009-07-15 00:00:00,donald trump backs apprentice randal pinkett n j lieutenant governor,,-0.0516
2009-07-22 00:00:00,congrats winners around world entered think like champion signed book keychain contest,,0.9169
2009-07-28 00:00:00,check list donald trump books summer reading trump university blog,,0.0
2009-08-04 00:00:00,browse donald trump summer reading list business success trump university blog,,0.5719
2009-08-14 00:00:00,ivanka twitter follow @ivankatrump terrific weekend,,0.4767
2009-08-20 00:00:00,watch donald trump recent appearance late show david letterman,,0.0
2009-08-21 00:00:00,watch miss universe competition live bahamas sunday @ pm et nbc,,-0.1531
2009-08-23 00:00:00,reminder miss universe competition live bahamas tonight @ pm est nbc,,-0.1531
2009-08-29 00:00:00,donald trump bids buy oreo double stuf racing league check,,0.0
2009-09-01 00:00:00,hysterical dsrl videos featuring donald trump double trump plus enter golden lick race sweepstakes,,-0.0258
2009-09-14 00:00:00,read donald trump top ten tips success,,0.6705
2009-09-29 00:00:00,lot people imagination execute execute imagination donald j trump,,0.0
2009-10-05 00:00:00,read donald trump say daughter ivanka upcoming new book trump card,,0.0
2009-10-14 00:00:00,watch video ivanka trump sharing business advice entrepreneurial women gma,,0.4215
2009-10-22 00:00:00,hear donald trump discuss big gov spending banks taxes world w neil cavuto,,0.0
2009-11-16 00:00:00,donald trump partners tv new reality series entitled omarosa ultimate merger,,0.2732
2009-11-26 00:00:00,wishing happy bountiful thanksgiving,,0.6808
2009-12-03 00:00:00,trump international tower chicago ranked th tallest building world council tall buildings urban habitat,,0.0
2010-01-12 00:00:00,celebrity apprentice returns nbc sunday pm et pt outstanding list celebrities season best one yet,,0.8481
