date,clean_text,Unnamed: 2,compound_polarity
2016-11-08 00:00:00,@aliciakeys morning woke feeling hopeful power voice unity continued progress votelove imwit,,0.765
2016-11-08 00:00:00,@chelseaclinton proud mom campaign run let bring home today,,0.4767
2016-11-08 00:00:00,@cnn president obama chance elect th president build progress,,0.5859
2016-11-08 00:00:00,@elizabethforma morning proudly cast vote @hillaryclinton next president united states imwithher https,,0.7506
2016-11-08 00:00:00,@ericasmegs worry mom remember vote today even though ur remind love one https,,0.3182
2016-11-08 00:00:00,@jeanneshaheen voted elect st woman president let tell feels amazing nhpolitics,,0.5859
2016-11-08 00:00:00,@jeremyshorr told girls astronauts presidents showed sallyride hope show @hillaryclinton tom,,0.4404
2016-11-08 00:00:00,@johnlegend donald trump unfit office president fortunately exceptionally qualified candidate @hillaryclinto,,0.0
2016-11-08 00:00:00,@joshschwerin philly full force tonight,,0.0
2016-11-08 00:00:00,@potus today progress ballot go vote make sure friends family everyone know votes,,0.802
2016-11-08 00:00:00,@repjohnlewis right vote precious almost sacred powerful nonviolent tool instrument democrat,,0.7369
2016-11-08 00:00:00,@robbymook broken early vote records across country tomorrow history @hfa volunteers gotvforhrc,,-0.4767
2016-11-08 00:00:00,@robbymook strong dem broward orange counties fl surpassed total turnout pm amazing work @hillaryforfl volunteers go,,0.7964
2016-11-08 00:00:00,@rubycramer final rally hillary clinton campaign raleigh n c officially tuesday nov,,0.0
2016-11-08 00:00:00,@thedemocrats let us bend arc history toward justice,,0.5267
2016-11-08 00:00:00,@timkaine wanted first polling place year old minerva turpin beat looks like need get used bein,,0.3612
2016-11-08 00:00:00,@vp today election day america time get vote,,0.0
2016-11-08 00:00:00,already voted great help hillary win signing make calls,,0.891
2016-11-08 00:00:00,already voted jump phone remind voters key battleground states go vote,,-0.4019
2016-11-08 00:00:00,america build bridges walls let go prove love trumps hate,,0.128
2016-11-08 00:00:00,believe heart best days still ahead us reach together hillary philly,,0.6486
2016-11-08 00:00:00,believe never write discrimination laws got vote hillary,,0.0
2016-11-08 00:00:00,believe racism sexism bigotry place country need vote,,-0.6249
2016-11-08 00:00:00,believe science act climate change vote hillary,,0.0
2016-11-08 00:00:00,believe win believe win,,0.8225
2016-11-08 00:00:00,betting tomorrow reject fear choose hope @potus,,-0.4588
2016-11-08 00:00:00,betting young people turn vote future stake @potus,,0.0
2016-11-08 00:00:00,boo vote @potus,,0.0
2016-11-08 00:00:00,chance elect th president build progress finish job @potus,,0.5859
2016-11-08 00:00:00,closest advisors trust tweet would us trust nuclear codes @potus trump,,0.765
2016-11-08 00:00:00,duty ensure country handed leader trust @flotus hillary,,0.7096
2016-11-08 00:00:00,election day almost wait go vote confirm vote,,0.0
2016-11-08 00:00:00,election day millions americans cast votes hillary join confirm vote,,0.296
2016-11-08 00:00:00,election day polls officially open vote today confirm go,,0.0
2016-11-08 00:00:00,election us hands get vote tomorrow hillary clinton win @flotus,,0.5859
2016-11-08 00:00:00,everything worked toward comes today voting hillary,,0.0
2016-11-08 00:00:00,excited finally get vote mom hours @chelseaclinton,,0.34
2016-11-08 00:00:00,go high vote,,0.0
2016-11-08 00:00:00,going close need team confirm vote today,,0.0
2016-11-08 00:00:00,going gets tough hillary person want side never gives never quits @flotus,,-0.0516
2016-11-08 00:00:00,going let anybody rip progress made hillary,,0.4215
2016-11-08 00:00:00,happy election day,,0.5719
2016-11-08 00:00:00,hello philadelphia fired ready go @potus,,-0.2732
2016-11-08 00:00:00,hillary role model michelle want daughters kids across country @potus,,0.0772
2016-11-08 00:00:00,join hillary last rally campaign raleigh north carolina,,0.296
2016-11-08 00:00:00,let go make history today,,0.0
2016-11-08 00:00:00,let make history hillary,,0.0
2016-11-08 00:00:00,matter came along matter hit matter happened said stronger together @billclinton,,0.4404
2016-11-08 00:00:00,million latinos eligible vote year millions already voted ready join,,0.5719
2016-11-08 00:00:00,name donald trump name ballot kind country want hillary,,0.5719
2016-11-08 00:00:00,need help knocking doors making phone calls helping turn people hillary,,0.5994
2016-11-08 00:00:00,neighbors battleground states need help make calls remind hillary supporters go vote,,0.4404
2016-11-08 00:00:00,stand still vote today electionday mannequinchallenge,,0.0
2016-11-08 00:00:00,stronger together,,0.3818
2016-11-08 00:00:00,thing vote count today make difference go vote,,0.0
2016-11-08 00:00:00,today day show much stronger together voted sign volunteer shift,,0.3818
2016-11-08 00:00:00,today day show much stronger together voted sign volunteer shift,,0.3818
2016-11-08 00:00:00,today let show world love always trump hate,,0.128
2016-11-08 00:00:00,tomorrow chance elect someone singularly qualified president friend hillary,,0.6369
2016-11-08 00:00:00,tomorrow choice face step voting booth could clear could serious @potus,,0.3182
2016-11-08 00:00:00,tomorrow face test time vote hillary,,0.0
2016-11-08 00:00:00,tomorrow vote say country always great greatest nation earth @flotus,,0.8519
2016-11-08 00:00:00,tomorrow vote stand seek divide us make us afraid @flotus imvotingbecause,,0.0
2016-11-08 00:00:00,vote hopeful inclusive big hearted vision america hillary,,0.6486
2016-11-08 00:00:00,vote someone somebody extraordinary vote @potus,,0.0
2016-11-08 00:00:00,want miss one join hillary @potus @flotus @billclinton @chelseaclinton live philly,,0.2263
2016-11-08 00:00:00,want shrink vision country want keep expanding hillary,,0.3818
2016-11-09 00:00:00,@hillaryfornc voted nc @potus needs get line long line polls close vote http,,0.0
2016-11-09 00:00:00,@timkaine thinking daughter right little girl ever wonder whether president https,,0.0
2016-11-09 00:00:00,barack michelle obama country owes enormous debt gratitude thank graceful determined leadership,,0.8271
2016-11-09 00:00:00,bill chelsea marc charlotte aidan brothers entire family love means ever express hillary,,0.6369
2016-11-09 00:00:00,constitutional democracy demands participation every four years time hillary,,0.0
2016-11-09 00:00:00,donald trump going president owe open mind chance lead hillary,,0.25
2016-11-09 00:00:00,grateful country given count blessings every day american hillary,,0.7579
2016-11-09 00:00:00,hope successful president americans hillary donald trump,,0.7717
2016-11-09 00:00:00,last night congratulated donald trump offered work behalf country hillary,,0.0
2016-11-09 00:00:00,let us faith let us grow weary let us lose heart seasons come work,,-0.25
2016-11-09 00:00:00,little girls watching never doubt valuable powerful deserving every chance opportunity world,,0.2556
2016-11-09 00:00:00,loss hurts please never stop believing fighting right worth hillary,,0.2018
2016-11-09 00:00:00,outcome wanted sorry win election values share vision hold country,,0.8555
2016-11-09 00:00:00,remember line polls close vote question call,,0.0
2016-11-09 00:00:00,represent best america candidate one greatest honors life hillary @hfa,,0.9136
2016-11-09 00:00:00,responsibility citizens keep part build better stronger fairer america seek know,,0.6705
2016-11-09 00:00:00,scripture tells us let us grow weary good due season shall reap lose heart,,-0.2263
2016-11-09 00:00:00,seen nation deeply divided thought still believe america always hillary,,0.0
2016-11-09 00:00:00,still shattered highest hardest glass ceiling day someone hillary,,-0.4767
2016-11-09 00:00:00,stronger together go forward together never ever regret fighting hillary,,0.722
2016-11-09 00:00:00,team much proud whatever happens tonight thank everything,,0.6808
2016-11-09 00:00:00,want remember campaign never one person even one election country love hillary,,0.6705
2016-11-09 00:00:00,want thank tim kaine anne holton partners journey hillary,,0.4215
2016-11-09 00:00:00,watch hillary deliver remarks election new york city,,0.0
2016-11-09 00:00:00,women put faith campaign nothing made prouder champion hillary,,-0.4541
2016-11-17 00:00:00,looking forward honoring brave young people tonight @childdefender started career tune h,,0.7717
2016-11-24 00:00:00,greeted heartwarming display corner street today thank,,0.7717
2016-11-24 00:00:00,hoping everyone safe happy thanksgiving today quality time family friends h,,0.91
