date,clean_text,Unnamed: 2,compound_polarity
2016-11-08 00:00:00,according @cnn utah officials report voting machine problems across entire country,,-0.4019
2016-11-08 00:00:00,big news share new hampshire tonight polls looking great see soon,,0.743
2016-11-08 00:00:00,electionday,,0.0
2016-11-08 00:00:00,let keep getting vote election far well much time left go florida,,0.2732
2016-11-08 00:00:00,rt @donaldjtrumpjr thanks new hampshire nh newhampshire maga,,0.7269
2016-11-08 00:00:00,still time votetrump ivoted electionnight,,0.0
2016-11-08 00:00:00,today florida pledged stand people cuba venezuela fight oppression cont,,-0.3818
2016-11-08 00:00:00,today make america great,,0.6249
2016-11-08 00:00:00,watching election results trump tower manhattan family friends exciting,,0.743
2016-11-09 00:00:00,beautiful important evening forgotten man woman never forgotten come together never,,0.4404
2016-11-10 00:00:00,happy st birthday u marine corps thank service,,0.7351
2016-11-11 00:00:00,busy day planned new york soon making important decisions people running government,,0.2023
2016-11-11 00:00:00,fantastic day c met president obama first time really good meeting great chemistry melania liked mrs lot,,0.932
2016-11-11 00:00:00,love fact small groups protesters last night passion great country come together proud,,0.926
2016-11-11 00:00:00,open successful presidential election professional protesters incited media protesting unfair,,-0.4588
2016-11-11 00:00:00,today express deepest gratitude served armed forces thankavet,,0.5106
2016-11-12 00:00:00,prove great time lives americans unite win win win,,0.9477
2016-11-13 00:00:00,@nytimes sent letter subscribers apologizing bad coverage wonder change doubt,,-0.743
2016-11-13 00:00:00,@nytimes states today djt believes countries acquire nuclear weapons dishonest never said,,-0.765
2016-11-13 00:00:00,debates especially second third plus speeches intensity large rallies plus great supporters gave us win,,0.8957
2016-11-13 00:00:00,governor john kasich great great great state ohio called congratulate win people ohio incredible,,0.9652
2016-11-13 00:00:00,interviewed @ minutes tonight nfl game p enjoy,,0.4939
2016-11-13 00:00:00,jeb bush george w george h w called express best wishes win nice,,0.9081
2016-11-13 00:00:00,mitt romney called congratulate win nice,,0.8689
2016-11-13 00:00:00,wow @nytimes losing thousands subscribers poor highly inaccurate coverage trump phenomena,,-0.2263
2016-11-15 00:00:00,election based total popular vote would campaigned n florida california even bigger easily,,0.6369
2016-11-15 00:00:00,electoral college actually genius brings states including smaller ones play campaigning much different,,0.34
2016-11-16 00:00:00,australia new zealand always available @nytimes upset looked like fools coverage,,-0.5106
2016-11-16 00:00:00,failing @nytimes story totally wrong transition going smoothly also spoken many foreign leaders,,-0.7713
2016-11-16 00:00:00,organized process taking place decide cabinet many positions one knows finalists,,0.0
2016-11-16 00:00:00,recieved taken calls many foreign leaders despite failing @nytimes said russia u k china saudi arabia japan,,0.4023
2016-11-16 00:00:00,trying get top level security clearance children typically false news story,,0.4939
2016-11-17 00:00:00,transition team working long hours fantastic job seeing many great candidates today maga,,0.8271
2016-11-18 00:00:00,got call friend bill ford chairman ford advised keeping lincoln plant kentucky mexico,,0.4939
2016-11-18 00:00:00,worked hard bill ford keep lincoln plant kentucky owed great state kentucky confidence,,0.7906
2016-11-18 00:00:00,working weekend choosing great men women helping make america great,,0.886
2016-11-19 00:00:00,bad thing winning presidency time go long winning trial trump u bad,,-0.0516
2016-11-19 00:00:00,settled trump university lawsuit small fraction potential award president focus country,,0.3818
2016-11-19 00:00:00,theater must always safe special place cast hamilton rude last night good man mike pence apologize,,0.7096
2016-11-19 00:00:00,wonderful future v p mike pence harassed last night theater cast hamilton cameras blazing happen,,0.0516
2016-11-20 00:00:00,always good relationship chuck schumer far smarter harry r ability get things done good news,,0.8779
2016-11-20 00:00:00,cast producers hamilton hear highly overrated immediately apologize mike pence terrible behavior,,-0.3477
2016-11-20 00:00:00,general james mad dog mattis considered secretary defense impressive yesterday true general general,,0.5267
2016-11-20 00:00:00,numerous patriots coming bedminster today continue fill various positions necessary make america great,,0.6249
2016-11-20 00:00:00,watched parts @nbcsnl saturday night live last night totally one sided biased show nothing funny equal time us,,-0.5817
2016-11-21 00:00:00,@transition update policy plans first days,,0.0
2016-11-22 00:00:00,cancelled today meeting failing @nytimes terms conditions meeting changed last moment nice,,-0.3612
2016-11-22 00:00:00,failing @nytimes announced complaints year high fully understand announce,,-0.7184
2016-11-22 00:00:00,great meetings take place today trump tower concerning formation people run government next years,,0.6249
2016-11-22 00:00:00,jeff sessions fitting selection attorney general,,0.0
2016-11-22 00:00:00,many people would like see @nigel farage represent great britain ambassador united states would great job,,0.926
2016-11-22 00:00:00,meeting @nytimes back today look forward,,0.0
2016-11-22 00:00:00,perhaps new meeting set @nytimes meantime continue cover inaccurately nasty tone,,-0.5574
2016-11-22 00:00:00,president elect donald j trump cia director garners praise,,0.5574
2016-11-22 00:00:00,prior election well known interests properties world crooked media makes big deal,,0.4767
2016-11-22 00:00:00,seriously considering dr ben carson head hud gotten know well greatly talented person loves people,,0.8384
2016-11-23 00:00:00,bus crash tennessee sad terrible condolences family members loved ones beautiful children remembered,,-0.0258
2016-11-24 00:00:00,happy thanksgiving everyone together make america great,,0.8316
2016-11-24 00:00:00,working hard even thanksgiving trying get carrier c company stay u indiana making progress know soon,,0.34
2016-11-26 00:00:00,fidel castro dead,,-0.6486
2016-11-27 00:00:00,addition winning electoral college landslide popular vote deduct millions people voted illegally,,0.7351
2016-11-27 00:00:00,democrats incorrectly thought going win asked election night tabulation accepted anymore,,0.7096
2016-11-27 00:00:00,election direct threat democracy said accept results look future donald,,-0.2023
2016-11-27 00:00:00,fair elections accepted outcomes may liked must expected anyone standing,,0.7351
2016-11-27 00:00:00,general election one appalled somebody nominee one two major parties would take kind,,0.4767
2016-11-27 00:00:00,green party scam fill coffers asking impossible recounts joined badly defeated demoralized dems,,-0.8689
2016-11-27 00:00:00,hillary clinton conceded election called prior victory speech results nothing change,,0.0
2016-11-27 00:00:00,hillary debate answer delay horrifying way democracy works around years free,,-0.4019
2016-11-27 00:00:00,position separately stated said something truly horrifying refused say would respect results,,0.0258
2016-11-27 00:00:00,states instead states visited would even easily convincingly smaller states forgotten,,0.4767
2016-11-27 00:00:00,trump going president owe open mind chance lead much time money spent result sad,,-0.2732
2016-11-27 00:00:00,would much easier win called popular vote electoral college would campaign,,0.8555
2016-11-28 00:00:00,cuba unwilling make better deal cuban people cuban american people u whole terminate deal,,0.4404
2016-11-28 00:00:00,met general petraeus impressed,,0.4767
2016-11-28 00:00:00,serious voter fraud virginia new hampshire california media reporting serious bias big problem,,-0.8176
2016-11-29 00:00:00,@cnn embarrassed total support hillary clinton yet loss landslide know,,-0.2732
2016-11-29 00:00:00,@fiiibuster @jeffzeleny pathetic sufficient evidence donald trump suffer voter fraud shame bad reporter,,-0.9559
2016-11-29 00:00:00,@highonhillcrest @jeffzeleny proof u donaldtrump suffer millions fraud votes journalist job @cnn,,-0.8074
2016-11-29 00:00:00,@joebowman @jeffzeleny another generic cnn part time wannabe journalist @cnn still get never learn,,0.0
2016-11-29 00:00:00,@sdcritic @highonhillcrest @jeffzeleny @cnn question voterfraud take place favor corrupthillary,,0.4019
2016-11-29 00:00:00,great state michigan certified trump win giving make america great supporters another victory,,0.9538
2016-11-29 00:00:00,nobody allowed burn american flag must consequences perhaps loss citizenship year jail,,-0.3182
2016-11-29 00:00:00,president elect donald j trump intends nominate congressman tom price seema verma,,0.0
2016-11-29 00:00:00,president elect donald j trump nominates elaine chao secretary department transportation,,0.0
2016-11-29 00:00:00,thought @cnn would get better failed badly support hillary clinton however since election worse,,-0.5994
2016-11-29 00:00:00,thoughts prayers great people tennessee terrible wildfires stay safe,,0.5994
2016-11-30 00:00:00,big day thursday indiana great workers wonderful state keep companies jobs u thanks carrier,,0.8934
2016-11-30 00:00:00,donald trump already helping working class,,0.296
2016-11-30 00:00:00,going indiana thursday make major announcement concerning carrier c staying indianapolis great deal workers,,0.6249
2016-11-30 00:00:00,great business total order fully focus running country order make america great mandated,,0.8481
2016-11-30 00:00:00,hence legal documents crafted take completely business operations presidency far important task,,0.3182
2016-11-30 00:00:00,holding major news conference new york city children december discuss fact leaving,,0.0
2016-11-30 00:00:00,isis taking credit terrible stabbing attack ohio state university somali refugee country,,-0.5574
2016-11-30 00:00:00,law feel visually important president way conflict interest various businesses,,0.3612
2016-12-01 00:00:00,getting ready leave great state indiana meet hard working wonderful people carrier c,,0.8658
2016-12-01 00:00:00,heading u bank arena cincinnati ohio pm rally join tickets,,0.296
2016-12-01 00:00:00,look forward going indiana tomorrow order great workers carrier sell many air conditioners,,0.6249
2016-12-01 00:00:00,thoughts prayers affected tragic storms tornadoes southeastern united states stay safe,,0.2732
2016-12-03 00:00:00,great vpe @mike pence louisiana campaigning john kennedy us senate john tremendous help us washington,,0.7783
2016-12-03 00:00:00,interesting u sells taiwan billions dollars military equipment accept congratulatory call,,0.6486
2016-12-03 00:00:00,president taiwan called today wish congratulations winning presidency thank,,0.91
2016-12-03 00:00:00,rexnord indiana moving mexico rather viciously firing workers happening country,,-0.5719
2016-12-03 00:00:00,state treasurer john kennedy choice us senator louisiana early voting today election next saturday,,0.128
2016-12-04 00:00:00,@foxnews running objectified donald trump ratings hit produced great harvey levin tmz p enjoy,,0.8074
2016-12-04 00:00:00,china ask us ok devalue currency making hard companies compete heavily tax products going,,0.2023
2016-12-04 00:00:00,companies able move states tax tariff charged please forewarned prior making,,0.128
