source,created_at,text,is_retweet,id_str
Twitter Web Client,Fri Jan 20 18:15:45 +0000 2017,"""This is YOUR day. This is YOUR celebration. And this, the United States of America, is YOUR country."" - @POTUS",False,822507925432397825
Twitter for iPhone,Mon Jan 23 13:30:25 +0000 2017,RT @POTUS: Busy week planned with a heavy focus on jobs &amp; national security. Top executives coming in at 9 A.M. to talk manufacturing in Am…,True,823523280502063105
TweetDeck,Wed Mar 01 02:42:46 +0000 2017,RT @POTUS: We must ensure that Americans with pre-existing conditions have access to coverage. #JointAddress,True,836768647838322690
TweetDeck,Thu Feb 16 17:56:45 +0000 2017,Watch LIVE as @POTUS Trump holds a press conference in the East Room of the White House: https://t.co/1i1w8w6Eky https://t.co/hL2CxGN1UX,False,832287616850657280
TweetDeck,Wed Mar 01 03:09:26 +0000 2017,RT @POTUS: I am asking all citizens to embrace this Renewal of the #AmericanSpirit. #JointAddress,True,836775359785881600
Twitter for iPhone,Tue Jan 24 15:51:45 +0000 2017,RT @VP: Good discussion with President @realDonaldTrump and automotive leaders about creating new auto jobs in the U.S. 🇺🇸 https://t.co/p9C…,True,823921238892511232
TweetDeck,Wed Mar 01 14:19:06 +0000 2017,.@SteveDaines on last night's #JointAddress https://t.co/Kr5eehZPSb,False,836943885280677891
TweetDeck,Thu Mar 02 23:17:08 +0000 2017,Watch LIVE as @VP Pence participates in the swearing-in ceremony for the Secretary of @ENERGY Rick Perry:… https://t.co/lWlGxP0oaG,False,837441673835708416
Twitter for iPhone,Mon Feb 06 17:45:08 +0000 2017,RT @VP: It's a great honor to visit with Former President @GeorgeHWBush &amp; Barbara Bush. Their service to our nation 🇺🇸 is an inspiration to…,True,828660814966091776
TweetDeck,Wed Mar 01 02:36:19 +0000 2017,"""I am not going to let America be taken advantage of anymore."" #JointAddress https://t.co/rHTD2onC4C",False,836767023644438528
TweetDeck,Wed Mar 01 05:06:04 +0000 2017,RT @lisamurkowski: Tonight’s #JointAddress was a much-needed opportunity for @POTUS to outline his plans &amp; vision for the future: https://t…,True,836804709772115971
Twitter Web Client,Thu Mar 30 13:34:52 +0000 2017,RT @POTUS: Congratulations David Friedman! https://t.co/8PGfIybRzZ,True,847442001469550592
Twitter Web Client,Mon Feb 20 16:08:37 +0000 2017,Happy #PresidentsDay! Learn more about all 45 of our Presidents here: https://t.co/wDA3f2vyej https://t.co/mYDND35V3G,False,833709956096487424
TweetDeck,Wed Mar 01 02:40:56 +0000 2017,"""REPEAL and REPLACE Obamacare"" #JointAddress https://t.co/1xWAebxino",False,836768187358330882
TweetDeck,Thu Mar 02 19:04:08 +0000 2017,"RT @VP: Arriving on Air Force Two in Cincinnati, OH with @SecPriceMD to discuss with small biz owners why Obamacare needs to be repealed &amp;…",True,837378005576126464
Twitter for iPhone,Mon Mar 06 23:45:11 +0000 2017,"RT @POTUS: There is an incredible spirit of optimism sweeping the country right now—we're bringing back the JOBS!
Watch: https://t.co/SnDap…",True,838898283544207360
Twitter Web Client,Thu Jan 26 20:49:34 +0000 2017,RT @VP: Work benefiting the American people will get done in DC. Great discussion w/ GOP House &amp; Senate members about moving @POTUS agenda…,True,824720962071523332
Twitter Web Client,Wed Feb 01 21:21:08 +0000 2017,"RT @VP: Grateful for @SenateMajLdr's strong support for President @realDonaldTrump's Supreme Court nominee, Judge Gorsuch. https://t.co/qng…",True,826903233683660803
Twitter Web Client,Fri Mar 17 17:20:12 +0000 2017,Tune in for the joint press conference: https://t.co/BhZCvwhO7h https://t.co/sXeaoVAA2d,False,842787667104423937
Twitter for iPhone,Wed Mar 29 18:51:31 +0000 2017,Watch LIVE as @POTUS delivers remarks at the Women's Empowerment Panel: https://t.co/97ngCzXOeG https://t.co/llsuXv7oNq,False,847159301248561152
Twitter Web Client,Tue Mar 14 16:24:52 +0000 2017,"RT @fema: It’s best to keep off the roads during #blizzard2017 but if you get caught in the snow on your evening commute, follow these tips…",True,841686579013926912
Twitter for iPhone,Mon Feb 06 20:07:32 +0000 2017,"Happy Birthday, Mr. President! https://t.co/snf4pYhBiB",False,828696650797428740
Twitter Web Client,Wed Mar 01 02:30:25 +0000 2017,"""Antonin Scalia will forever be a symbol of American Justice."" #JointAddress #AmericanSpirit https://t.co/DTivcDjm9n",False,836765540232359936
Twitter Web Client,Thu Mar 09 23:38:30 +0000 2017,Be sure to tune in at 11:00am EST tomorrow to watch @POTUS Trump's Weekly Address: https://t.co/EHbfn3Tx6R,False,839983766646996992
TweetDeck,Wed Mar 01 04:49:50 +0000 2017,.@RoyBlunt on tonight's #JointAddress https://t.co/bH9ELR0zeF,False,836800626126389253
Twitter Web Client,Fri Mar 31 13:39:55 +0000 2017,RT @POTUS: Weekly Address - 10:00 A.M. tomorrow! #MAGA ➡️ https://t.co/umsr7N7YHN https://t.co/2kIysOYVCw,True,847805661731844096
TweetDeck,Wed Mar 01 03:08:52 +0000 2017,"""... and jobs where Americans prosper and grow - are not too much to ask."" #JointAddress #AmericanSpirit https://t.co/flnaY3DbPr",False,836775216957227012
